,analysis,Analysis_tokens,Attribute_name,Attribute_tokens,Cluster,cls_Cluster
21,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group cumulative area,ic ##ie ##f acidic group cumulative area,0,5
22,ICIEF,ic ##ie ##f,iCIEF Sum of Acidic Peaks (A% of Acidic Group),ic ##ie ##f sum of acidic peaks ( a % of acidic group ),0,23
23,ICIEF,ic ##ie ##f,iCIEF Acidic Species Area,ic ##ie ##f acidic species area,0,19
24,ICIEF,ic ##ie ##f,report sum corrected area% acidic isoforms,report sum corrected area % acidic iso ##forms,0,19
25,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks Cumulative Area,ic ##ie ##f acidic peaks cumulative area,0,28
26,ICIEF_2,ic ##ie ##f _ 2,IEX-HPLC Acidic Group Cumulative Area,ie ##x - hp ##lc acidic group cumulative area,0,5
27,ICIEF_2,ic ##ie ##f _ 2,iCIEF Acidic Group Cumulative Area,ic ##ie ##f acidic group cumulative area,0,30
28,ICIEF_2,ic ##ie ##f _ 2,iCIEF Basic Group Cumulative Area,ic ##ie ##f basic group cumulative area,0,11
29,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Species Cumulative Area Relatlimab,ic ##ie ##f basic species cumulative area re ##lat ##lim ##ab,0,0
30,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Species Cumulative Area Nivolumab,ic ##ie ##f acidic species cumulative area ni ##vo ##lum ##ab,0,0
31,ICIEF,ic ##ie ##f,iCIEF Basic Group,ic ##ie ##f basic group,0,19
32,ICIEF,ic ##ie ##f,iCIEF Acidic Group,ic ##ie ##f acidic group,0,19
33,BIO_ICIEF,bio _ ic ##ie ##f,Basic Group,basic group,0,11
34,BIO_ICIEF,bio _ ic ##ie ##f,Acidic Group,acidic group,0,0
35,BIO_ICIEF,bio _ ic ##ie ##f,Acidic Group 2,acidic group 2,0,30
36,BIO_ICIEF,bio _ ic ##ie ##f,Basic Group 2,basic group 2,0,11
37,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks ,ic ##ie ##f acidic peaks,0,5
38,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Peaks ,ic ##ie ##f basic peaks,0,11
39,ICIEF,ic ##ie ##f,A% of Acidic Group,a % of acidic group,0,19
40,ICIEF_2,ic ##ie ##f _ 2,icIEF (Purity) - acidic isoforms,ic ##ie ##f ( purity ) - acidic iso ##forms,0,16
41,ICIEF_2,ic ##ie ##f _ 2,icIEF (Purity) - basic isoforms,ic ##ie ##f ( purity ) - basic iso ##forms,0,16
42,ICIEF,ic ##ie ##f,icIEF (Purity) - basic isoforms,ic ##ie ##f ( purity ) - basic iso ##forms,0,16
43,ICIEF,ic ##ie ##f,icIEF (Purity) - acidic isoforms,ic ##ie ##f ( purity ) - acidic iso ##forms,0,16
44,ICIEF,ic ##ie ##f,icIEF (Purity) - main isoforms,ic ##ie ##f ( purity ) - main iso ##forms,0,16
45,ICIEF_2,ic ##ie ##f _ 2,icIEF (Purity) - main isoforms,ic ##ie ##f ( purity ) - main iso ##forms,0,16
46,BIO_ICIEF,bio _ ic ##ie ##f,Acidic Group [iCIEF aLAG3 Acidic Peaks cumulative Area],acidic group [ ic ##ie ##f ala ##g ##3 acidic peaks cumulative area ],0,5
47,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF NIVO Acidic Peaks Cumulative Area,ic ##ie ##f ni ##vo acidic peaks cumulative area,0,28
48,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF (Basic Group Cumulative Area),ic ##ie ##f ( basic group cumulative area ),0,5
49,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF (Acidic Group Cumulative Area),ic ##ie ##f ( acidic group cumulative area ),0,5
50,BIO_ICIEF,bio _ ic ##ie ##f,pl,pl,0,11
51,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Acidic Peaks ,ic ##ie ##f sum of acidic peaks,0,8
52,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Basic Peaks ,ic ##ie ##f sum of basic peaks,0,8
53,ICIEF_2,ic ##ie ##f _ 2,iCE Al(a),ice al ( a ),0,30
54,ICIEF_2,ic ##ie ##f _ 2,iCE Al(0),ice al ( 0 ),0,30
55,BIO_ICIEF,bio _ ic ##ie ##f,AEX Acidic Group,ae ##x acidic group,0,0
56,BIO_ICIEF,bio _ ic ##ie ##f,AEX Basic Group,ae ##x basic group,0,11
57,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group (Nivolumab),ic ##ie ##f basic group ( ni ##vo ##lum ##ab ),0,11
58,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group (Relatlimab),ic ##ie ##f acidic group ( re ##lat ##lim ##ab ),0,0
59,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group (Nivolumab),ic ##ie ##f acidic group ( ni ##vo ##lum ##ab ),0,0
60,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group (Relatlimab),ic ##ie ##f basic group ( re ##lat ##lim ##ab ),0,11
61,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Species,ic ##ie ##f basic species,0,0
62,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Species,ic ##ie ##f acidic species,0,0
63,250593_ICIEF_ABAT,250 ##59 ##3 _ ic ##ie ##f _ aba ##t,ICIEF GROUP 2,ic ##ie ##f group 2,0,30
64,BIO_ICIEF,bio _ ic ##ie ##f,Basic Group 2iCIEF Basic Group Cumulative Area Nivolumab,basic group 2 ##ici ##ef basic group cumulative area ni ##vo ##lum ##ab,0,5
65,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Acidic Peak (Area % of Acidic Group),ic ##ie ##f sum of acidic peak ( area % of acidic group ),0,5
66,ICIEF_2,ic ##ie ##f _ 2,iCIEF sum of Acidic Peaks (A% of Acidic Group),ic ##ie ##f sum of acidic peaks ( a % of acidic group ),0,5
67,ICIEF_2,ic ##ie ##f _ 2,iCIEF  Basic Group Cumulative Area,ic ##ie ##f basic group cumulative area,0,11
68,ICIEF_2,ic ##ie ##f _ 2,Group 1,group 1,0,30
69,ICIEF_2,ic ##ie ##f _ 2,Group 2,group 2,0,30
70,ICIEF_2,ic ##ie ##f _ 2,Group 3,group 3,0,30
71,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Reference Group,ic ##ie ##f reference group,0,0
72,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks Cumulative Area {ALAG3},ic ##ie ##f acidic peaks cumulative area { ala ##g ##3 },0,8
73,BIO_ICIEF,bio _ ic ##ie ##f,iCIEFAcidic Group (Nivo),ic ##ie ##fa ##ci ##dic group ( ni ##vo ),0,0
74,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Acidic Peaks,ic ##ie ##f sum of acidic peaks,0,8
75,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Basic Peaks,ic ##ie ##f sum of basic peaks,0,8
76,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Area Relatlimab (% of cumulative area),ic ##ie ##f acidic group area re ##lat ##lim ##ab ( % of cumulative area ),0,5
77,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Area Relatlimab (% of cumulative area),ic ##ie ##f basic group area re ##lat ##lim ##ab ( % of cumulative area ),0,5
78,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Area Nivolumab (% of cumulative area),ic ##ie ##f acidic group area ni ##vo ##lum ##ab ( % of cumulative area ),0,5
79,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Area Nivolumab (% of cumulative area),ic ##ie ##f basic group area ni ##vo ##lum ##ab ( % of cumulative area ),0,5
80,ICIEF,ic ##ie ##f,IEX-HPLC Acidic Group Cumulative Area,ie ##x - hp ##lc acidic group cumulative area,0,19
81,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF  Basic Group Cumulative Area,ic ##ie ##f basic group cumulative area,0,5
82,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF pI,ic ##ie ##f pi,0,11
83,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group ,ic ##ie ##f acidic group,0,0
84,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group ,ic ##ie ##f basic group,0,11
85,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Species Cumulative Area Relatlimab,ic ##ie ##f acidic species cumulative area re ##lat ##lim ##ab,0,0
86,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Species Cumulative Area Nivolumab,ic ##ie ##f basic species cumulative area ni ##vo ##lum ##ab,0,0
87,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group cumulative area,ic ##ie ##f basic group cumulative area,0,5
88,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Cumulative ,ic ##ie ##f acidic group cumulative,0,5
89,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Cumulative ,ic ##ie ##f basic group cumulative,0,5
90,ICIEF,ic ##ie ##f,iCIEF Acidic Group Area Nivolumab (% of cumulative area),ic ##ie ##f acidic group area ni ##vo ##lum ##ab ( % of cumulative area ),0,5
91,ICIEF,ic ##ie ##f,iCIEF Basic Species Area,ic ##ie ##f basic species area,0,0
92,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group,ic ##ie ##f basic group,0,11
93,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group,ic ##ie ##f acidic group,0,0
94,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks Cumulative Area{ALAG3},ic ##ie ##f acidic peaks cumulative area { ala ##g ##3 },0,8
95,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks Cumulative Area{NIVO},ic ##ie ##f acidic peaks cumulative area { ni ##vo },0,8
96,ICIEF,ic ##ie ##f,iCIEF_4 (result),ic ##ie ##f _ 4 ( result ),0,30
97,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Anti LAG 3 Acidic Peaks Cumulative Area,ic ##ie ##f anti la ##g 3 acidic peaks cumulative area,0,5
98,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks Cumulative Area {NIVO},ic ##ie ##f acidic peaks cumulative area { ni ##vo },0,8
99,ICIEF,ic ##ie ##f,iCIEF Acidic Species Cumulative Area Relatlimab,ic ##ie ##f acidic species cumulative area re ##lat ##lim ##ab,0,0
100,ICIEF,ic ##ie ##f,iCIEF Basic Variants,ic ##ie ##f basic variants,0,19
101,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Peaks Cumulative Area [NIVO],ic ##ie ##f acidic peaks cumulative area [ ni ##vo ],0,5
102,BIO_ICIEF,bio _ ic ##ie ##f,Acidic Group [iCIEF Acidic Peaks Cumulative Area ALAG3],acidic group [ ic ##ie ##f acidic peaks cumulative area ala ##g ##3 ],0,5
103,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group % Area,ic ##ie ##f basic group % area,0,11
104,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group % Area,ic ##ie ##f acidic group % area,0,5
105,ICIEF,ic ##ie ##f,iCIEF Basic Group Relatlimab,ic ##ie ##f basic group re ##lat ##lim ##ab,0,19
106,ICIEF,ic ##ie ##f,iCIEF Basic Group Nivolumab,ic ##ie ##f basic group ni ##vo ##lum ##ab,0,19
107,ICIEF,ic ##ie ##f,iCIEF Acidic Group Nivolumab,ic ##ie ##f acidic group ni ##vo ##lum ##ab,0,19
108,ICIEF,ic ##ie ##f,iCIEF Acidic Group Relatlimab,ic ##ie ##f acidic group re ##lat ##lim ##ab,0,19
109,ICIEF,ic ##ie ##f,iCIEF Acidic Group ,ic ##ie ##f acidic group,0,19
110,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group (anti-LAG3),ic ##ie ##f basic group ( anti - la ##g ##3 ),0,5
111,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group (anti-LAG3),ic ##ie ##f acidic group ( anti - la ##g ##3 ),0,14
112,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group (Nivo),ic ##ie ##f acidic group ( ni ##vo ),0,0
113,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group (Nivo),ic ##ie ##f basic group ( ni ##vo ),0,11
114,ICIEF,ic ##ie ##f,iCIEF Basic Species Cumulative Area Nivolumab,ic ##ie ##f basic species cumulative area ni ##vo ##lum ##ab,0,0
115,ICIEF,ic ##ie ##f,iCIEF Basic Species Cumulative Area Relatlimab,ic ##ie ##f basic species cumulative area re ##lat ##lim ##ab,0,0
116,ICIEF_2,ic ##ie ##f _ 2,ICIEF Group 1,ic ##ie ##f group 1,0,30
117,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Reference Group Area,ic ##ie ##f reference group area,0,0
118,ICIEF,ic ##ie ##f,iCIEF (Acidic Group Cumulative Area),ic ##ie ##f ( acidic group cumulative area ),0,19
119,ICIEF,ic ##ie ##f,iCIEF Acidic Group Area Relatlimab (% of cumulative area),ic ##ie ##f acidic group area re ##lat ##lim ##ab ( % of cumulative area ),0,5
120,ICIEF_2,ic ##ie ##f _ 2,ICIEF Group 2,ic ##ie ##f group 2,0,30
121,ICIEF_2,ic ##ie ##f _ 2,AEX Basic Group,ae ##x basic group,0,11
122,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Species Cumulative Area,ic ##ie ##f basic species cumulative area,0,0
123,ICIEF,ic ##ie ##f,iCIEF [basic group cumulative %A],ic ##ie ##f [ basic group cumulative % a ],0,8
124,ICIEF,ic ##ie ##f,iCIEF [acidic group cumulative %A],ic ##ie ##f [ acidic group cumulative % a ],0,19
125,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Area,ic ##ie ##f basic group area,0,11
126,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Area,ic ##ie ##f acidic group area,0,0
127,ICIEF,ic ##ie ##f,AEX Basic Group,ae ##x basic group,0,19
128,ICIEF,ic ##ie ##f,AEX Acidic Group,ae ##x acidic group,0,19
129,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic ,ic ##ie ##f acidic,0,5
130,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic ,ic ##ie ##f basic,0,11
131,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Main ,ic ##ie ##f main,0,11
132,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Cumulative Area,ic ##ie ##f acidic group cumulative area,0,5
133,ICIEF,ic ##ie ##f,Basic Group iCIEF,basic group ic ##ie ##f,0,19
134,ICIEF,ic ##ie ##f,Acidic Group iCIEF,acidic group ic ##ie ##f,0,19
135,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Acidic Peaks (A% of Acidic Group),ic ##ie ##f sum of acidic peaks ( a % of acidic group ),0,23
136,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF (Acidic Species),ic ##ie ##f ( acidic species ),0,0
137,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Acidic Peak ,ic ##ie ##f sum of acidic peak,0,5
138,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Basic Peak,ic ##ie ##f sum of basic peak,0,8
139,BIO_ICIEF,bio _ ic ##ie ##f,AEX-HPLC Total Acidic Peaks,ae ##x - hp ##lc total acidic peaks,0,5
140,BIO_ICIEF,bio _ ic ##ie ##f,cIEF Acidic Peaks,ci ##ef acidic peaks,0,30
141,ICIEF,ic ##ie ##f,iCIEF Basic Species,ic ##ie ##f basic species,0,19
142,ICIEF,ic ##ie ##f,iCIEF Acidic Species,ic ##ie ##f acidic species,0,19
143,ICIEF_2,ic ##ie ##f _ 2,AEX Acidic Group,ae ##x acidic group,0,30
144,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Main Peaks,ic ##ie ##f main peaks,0,30
145,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Cumulative Area %,ic ##ie ##f acidic group cumulative area %,0,5
146,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF  Basic Group Cumulative Area %,ic ##ie ##f basic group cumulative area %,0,5
147,ICIEF,ic ##ie ##f,iCIEF (text result),ic ##ie ##f ( text result ),0,20
148,ICIEF,ic ##ie ##f,iCIEF Acidic Group Cumulative Area,ic ##ie ##f acidic group cumulative area,0,19
149,BIO_ICIEF,bio _ ic ##ie ##f,AEX HPLC-Acidic Peaks,ae ##x hp ##lc - acidic peaks,0,5
150,ICIEF_2,ic ##ie ##f _ 2,iCIEF Group 2,ic ##ie ##f group 2,0,30
151,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of Unknown Minor Peak 4 RRT >= LOQ,ce - sd ##s ( reduced ) rr ##t of unknown minor peak 4 rr ##t > = lo ##q,1,10
152,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of Unknown Minor Peak 5 RRT >= LOQ,ce - sd ##s ( reduced ) rr ##t of unknown minor peak 5 rr ##t > = lo ##q,1,10
153,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 5,ce - sd ##s ( reduced ) rr ##t for unknown minor peak > = q ##l 5,1,17
154,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Minor Peak RRT 5 >= LOQ,ce - sd ##s ( non - reduced ) minor peak rr ##t 5 > = lo ##q,1,10
155,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of Minor Peak>=LOQ,ce - sd ##s ( reduced ) rr ##t of minor peak > = lo ##q,1,10
156,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)RRT of Unknown Minor peak >= LOQ 4,ce - sd ##s ( reduced ) rr ##t of unknown minor peak > = lo ##q 4,1,17
157,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)RRT of Unknown Minor peak >= LOQ 1,ce - sd ##s ( reduced ) rr ##t of unknown minor peak > = lo ##q 1,1,10
158,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 1,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak > = lo ##q 1,1,10
159,CE_SDS,ce _ sd ##s,CE-SDSÂ (Non-Reduced)Â RRT of Unknown Minor Peak >= LOQ 3,ce - sd ##sa ( non - reduced ) a rr ##t of unknown minor peak > = lo ##q 3,1,17
160,CE_SDS,ce _ sd ##s,CE-SDSÂ (Non-Reduced)Â RRT of Unknown Minor Peak >= LOQ 2,ce - sd ##sa ( non - reduced ) a rr ##t of unknown minor peak > = lo ##q 2,1,17
161,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peak>=LOQ RRT,ce - sd ##s ( non - reduced ) minor peak > = lo ##q rr ##t,1,10
162,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 3 RRT >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 3 rr ##t > = lo ##q,1,10
163,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 1 RRT >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 1 rr ##t > = lo ##q,1,10
164,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 2 RRT >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 2 rr ##t > = lo ##q,1,10
165,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 4 RRT >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 4 rr ##t > = lo ##q,1,10
166,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 5 RRT >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 5 rr ##t > = lo ##q,1,10
167,CE_SDS,ce _ sd ##s,CE-SDS 10 (Reduced)RRT of Unknown Minor peak >= LOQ 1,ce - sd ##s 10 ( reduced ) rr ##t of unknown minor peak > = lo ##q 1,1,10
168,CE_SDS,ce _ sd ##s,CE-SDS 12 (Reduced)RRT of Unknown Minor peak >= LOQ 3,ce - sd ##s 12 ( reduced ) rr ##t of unknown minor peak > = lo ##q 3,1,17
169,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >=LOQ 2,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak > = lo ##q 2,1,10
170,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >=LOQ 1,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak > = lo ##q 1,1,10
171,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >=LOQ 3,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak > = lo ##q 3,1,10
172,CE_SDS_3,ce _ sd ##s _ 3,CE-SDS (Non-reduced) RRT of minor peak >=LOQ 4,ce - sd ##s ( non - reduced ) rr ##t of minor peak > = lo ##q 4,1,10
173,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ 1,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak > = lo ##q 1,1,10
174,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ 5,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak > = lo ##q 5,1,10
175,BIO_CE-SDS_NR,bio _ ce - sd ##s _ nr,CE-SDS (NR) Unknown Minor Peak >=LOQ 3,ce - sd ##s ( nr ) unknown minor peak > = lo ##q 3,1,10
176,BIO_CE-SDS_NR,bio _ ce - sd ##s _ nr,CE-SDS (NR) Unknown Minor Peak >=LOQ 2,ce - sd ##s ( nr ) unknown minor peak > = lo ##q 2,1,10
177,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of Minor Peak 2 RRT >= LOQ,ce - sd ##s ( reduced ) rr ##t of minor peak 2 rr ##t > = lo ##q,1,10
178,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peak 5 RRT >= LOQ,ce - sd ##s ( non - reduced ) minor peak 5 rr ##t > = lo ##q,1,10
179,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) RRT of Unknown Minor Peak 2>=LOQ,ce - sd ##s ( reduced ) rr ##t of unknown minor peak 2 > = lo ##q,1,10
180,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) RRT of Unknown Minor Peak 1>=LOQ,ce - sd ##s ( reduced ) rr ##t of unknown minor peak 1 > = lo ##q,1,10
181,CE_SDS,ce _ sd ##s,CE-SDSÂ (Non-Reduced)Â RRT of Unknown Minor Peak >= LOQ 1,ce - sd ##sa ( non - reduced ) a rr ##t of unknown minor peak > = lo ##q 1,1,10
182,CE_SDS,ce _ sd ##s,CE-SDS 13 (Reduced)RRT of Unknown Minor peak >= LOQ 4,ce - sd ##s 13 ( reduced ) rr ##t of unknown minor peak > = lo ##q 4,1,17
183,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of minor peak >=LOQ 4,ce - sd ##s ( reduced ) rr ##t of minor peak > = lo ##q 4,1,10
184,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced)RRT of Unknown Minor Peak 6 >= LOQ,ce - sd ##s ( non - reduced ) rr ##t of unknown minor peak 6 > = lo ##q,1,10
185,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) RRT for minor peak >=LOQ 2,ce - sd ##s ( non - reduced ) rr ##t for minor peak > = lo ##q 2,1,10
186,CE_SDS,ce _ sd ##s,CD-SDS (Non-Reduced) RRT for Unknown Minor Peak >= LOQ 2,cd - sd ##s ( non - reduced ) rr ##t for unknown minor peak > = lo ##q 2,1,10
187,CE_SDS,ce _ sd ##s,CD-SDS (Non-Reduced) RRT for Unknown Minor Peak >= LOQ 1,cd - sd ##s ( non - reduced ) rr ##t for unknown minor peak > = lo ##q 1,1,10
188,CE_SDS,ce _ sd ##s,CD-SDS (Non-Reduced) RRT for Unknown Minor Peak >= LOQ 4,cd - sd ##s ( non - reduced ) rr ##t for unknown minor peak > = lo ##q 4,1,10
189,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of Minor peak 1 >=LOQ,ce - sd ##s ( reduced ) rr ##t of minor peak 1 > = lo ##q,1,10
190,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) RRT of Unknown Minor Peak 3 RRT >= LOQ,ce - sd ##s ( reduced ) rr ##t of unknown minor peak 3 rr ##t > = lo ##q,1,10
