analysis,Attribute_name,class_probabilities,labels,max_prob,label
Y_SM_95007423_R,SDS COO REDUCED UNEXP NEW BAND (NUMERIC),[0.9993429780006409],[0],0.9993429780006409,0
Y_SM_250197_R,SIALIC ACID NGNA 1 DECPT,"[0.3215745687484741, 0.3104509115219116, 0.15224285423755646, 0.04107249155640602, 0.03691846504807472, 0.03476152569055557, 0.03233896568417549, 0.021699868142604828]","[9, 0, 7, 4, 8, 1, 5, 3]",0.3215745687484741,9
D_95007423,SDS COOM NONREDUCED MAJOR BAND,[0.9992412328720093],[0],0.9992412328720093,0
D_95007424,PROTEIN  CONCENTRATION MG_ML,[0.9933028221130371],[9],0.9933028221130371,9
Y_SM_250735_R,PEAK M3,"[0.9473564028739929, 0.034340616315603256]","[2, 1]",0.9473564028739929,2
Y_SM_250191_R,RM SIZE HOMOGENEITY MONOMER 1DECPT,[0.9957500696182251],[3],0.9957500696182251,3
250580_TOTAL_PROT,TOTAL PROTEIN CONCENTRATION,[0.9933193922042847],[9],0.9933193922042847,9
250657_SIZE_HOMOG,PEAK HEIGHT MONOMER PEAK SAMPLE,[0.9973551034927368],[3],0.9973551034927368,3
250658_CATION_EXCH,RM USP THEORETICAL PLATES,[0.956667959690094],[2],0.956667959690094,2
D_95007421,HIGH MOLECULAR WEIGHT SPECIES,[0.9949238896369934],[3],0.9949238896369934,3
250580_TOTAL_PROT,SAMPLE 2 MASS,[0.9755591750144958],[9],0.9755591750144958,9
P_M13173,NIVOLUMAB PROT CONCENTRATION,[0.9891854524612427],[9],0.9891854524612427,9
Y_SM_250193_R,RM PROTEIN CONCENTRATION UV A280 1DECPT,[0.9930516481399536],[9],0.9930516481399536,9
Y_GM_95007196_R,PH 1DECPT,[0.9975854158401489],[8],0.9975854158401489,8
Y_SM_250192_R,SDS COO REDUCED MAJOR BAND,[0.9994097948074341],[0],0.9994097948074341,0
250658_CATION_EXCH,PEAK 5,[0.9981589913368225],[2],0.9981589913368225,2
250580_TOTAL_PROT,RM3 CONCENTRATION FINAL,[0.9896777868270874],[9],0.9896777868270874,9
250657_SIZE_HOMOG,RM MONOMER,[0.9987282156944275],[3],0.9987282156944275,3
249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS2,"[0.8785892724990845, 0.02464543841779232, 0.017517343163490295, 0.016565905883908272, 0.015673154965043068]","[1, 7, 2, 3, 0]",0.8785892724990845,1
250683_CE_SDS_NON_RE,SS RM2 IGG,[0.9990693926811218],[0],0.9990693926811218,0
250658_CATION_EXCH,RM RT PEAK 1 PRECEEDING SAMPLE,[0.9861379265785217],[2],0.9861379265785217,2
Y_SM_250207_R,IL2 INHIBITION ASSAY BIOASSAY,[0.9604575037956238],[5],0.9604575037956238,5
Y_SM_250196_R,B7 BINDING  SPR,[0.9789143800735474],[7],0.9789143800735474,7
250658_CATION_EXCH,PEAK 1,[0.9984442591667175],[2],0.9984442591667175,2
D_M00000094,PURITY OF HC AND LC PEAKS,[0.9983536005020142],[0],0.9983536005020142,0
D_250599,PROT CONCENTRATION,[0.9905561804771423],[9],0.9905561804771423,9
D_M00000093,SUM OF UNDEFINED PEAKS,[0.9967952370643616],[2],0.9967952370643616,2
D_250657,HMW,[0.997113823890686],[3],0.997113823890686,3
D_250580,PROT CONCENTRATION,[0.9902925491333008],[9],0.9902925491333008,9
D_250627,MAIN PEAK_1DP,[0.9638230800628662],[2],0.9638230800628662,2
Y_SM_250359_R,PROTEIN CONCENTRATION UV A280NM,[0.9932577610015869],[9],0.9932577610015869,9
D_250629,RELATIVE POTENCY,"[0.5923118591308594, 0.17300023138523102, 0.09191726893186569, 0.041811954230070114, 0.028483921661973, 0.020918093621730804, 0.010286231525242329]","[5, 7, 6, 0, 1, 9, 8]",0.5923118591308594,5
D_250628,RELATIVE BINDING,[0.9729559421539307],[7],0.9729559421539307,7
D_250598,LMW,[0.9979159235954285],[3],0.9979159235954285,3
D_250601,TOTAL PARTICLES 25 MICRON,[0.9892808794975281],[4],0.9892808794975281,4
D_M00000093,HHL,"[0.6690893769264221, 0.08870378136634827, 0.07814262062311172, 0.03456248342990875, 0.031654130667448044, 0.02786225639283657, 0.01780051179230213, 0.015171604230999947]","[3, 1, 8, 7, 4, 9, 0, 2]",0.6690893769264221,3
D_M00000093,PURITY OF MAJOR PEAK,[0.9981275200843811],[0],0.9981275200843811,0
D_95007424,PCT LABEL CLAIM,"[0.4245482385158539, 0.2773253619670868, 0.11326535046100616, 0.07003498077392578, 0.03928425535559654, 0.01404790673404932, 0.013942195102572441]","[0, 5, 9, 7, 6, 3, 1]",0.4245482385158539,0
95007423_SDS_PAGE,SDS COOM ST NONREDUCED IND UNEX NEW BAND,[0.9993240833282471],[0],0.9993240833282471,0
D_250692,RELATIVE BIOASSAY,"[0.9153943657875061, 0.0223346259444952, 0.010707953944802284, 0.009905289858579636]","[5, 9, 8, 6]",0.9153943657875061,5
D_250601,TOTAL PARTICLES 10 MICRON,[0.989388644695282],[4],0.989388644695282,4
D_250627,ACIDIC PEAKS_1DP,[0.9936782717704773],[2],0.9936782717704773,2
D_250598,HMW_1DP,[0.9941500425338745],[3],0.9941500425338745,3
D_250624,TOTAL PARTICLES,[0.979502260684967],[4],0.979502260684967,4
D_250624,SEMIQUANT EVALUATION,"[0.5216267704963684, 0.24804197251796722, 0.08765741437673569, 0.036890510469675064, 0.02972477674484253, 0.014279190450906754, 0.013607747852802277]","[2, 1, 4, 5, 10, 8, 6]",0.5216267704963684,2
D_250739,RELATIVE POTENCY,"[0.5746933221817017, 0.19168038666248322, 0.09559787809848785, 0.03949785605072975, 0.02587667852640152, 0.02144482545554638, 0.009581995196640491]","[5, 7, 6, 0, 1, 9, 8]",0.5746933221817017,5
D_95007424,PROT CONCENTRATION UV 280 NM_MG_VIAL,[0.9926141500473022],[9],0.9926141500473022,9
Y_SM_250191_R,SIZE HOMOGENEITY MONOMER 1DECPT,[0.9963619112968445],[3],0.9963619112968445,3
US_790_VIS_PARTI,VIALS WITH VISIBLES PARTICULATES,"[0.4724566638469696, 0.4679287374019623, 0.009448886848986149, 0.008839626796543598]","[0, 4, 2, 9]",0.4724566638469696,0
D_M00000094,PURITY_0DP,[0.9931566119194031],[0],0.9931566119194031,0
D_95007421,LOW MOLECULAR WEIGHT SPECIES,[0.9954603314399719],[3],0.9954603314399719,3
249699_CAP_ELECT,MIG TIME BOTTLE,"[0.7821661233901978, 0.07648362219333649, 0.04774860665202141, 0.026346836239099503, 0.020113052800297737]","[3, 2, 1, 8, 4]",0.7821661233901978,3
D_M00000093,PURITY_0DP,[0.9929632544517517],[0],0.9929632544517517,0
249699_CAP_ELECT,MIG TIME SSS2 ABATACEPT,"[0.31091955304145813, 0.1933947056531906, 0.12758243083953857, 0.11246438324451447, 0.11003052443265915, 0.04804611578583717, 0.027350477874279022, 0.01870318129658699, 0.01649107038974762]","[2, 1, 7, 3, 4, 9, 10, 8, 5]",0.31091955304145813,2
D_M00003744,ABATACEPT MAJOR BAND (NON-RED),"[0.41491618752479553, 0.1706245392560959, 0.12249255180358887, 0.10986041277647018, 0.07071900367736816, 0.029747596010565758, 0.01889991946518421, 0.01489277370274067]","[2, 0, 4, 7, 1, 8, 9, 5]",0.41491618752479553,2
95007196_PH_BUFF,BUFFER PH,[0.9976378679275513],[8],0.9976378679275513,8
249699_CAP_ELECT,MIG TIME SSS1 ABATACEPT,"[0.30540838837623596, 0.21290883421897888, 0.1224137619137764, 0.1099681407213211, 0.100714311003685, 0.047883231192827225, 0.028857970610260963, 0.01885932870209217, 0.01875516027212143]","[2, 1, 7, 4, 3, 9, 10, 8, 5]",0.30540838837623596,2
PARTICLE_MATTER,TOTAL PARTICLE COUNT 25Âµ RESULT,[0.9852558374404907],[4],0.9852558374404907,4
250682_DRUG_CONT_ELO,SAMPLE 1 ABSORBANCE,"[0.9011331796646118, 0.03074382245540619, 0.011810733936727047, 0.01087465975433588]","[9, 5, 2, 7]",0.9011331796646118,9
250682_DRUG_CONT_ELO,DRUG CONTENT,"[0.279774934053421, 0.27234774827957153, 0.20283079147338867, 0.05567243695259094, 0.04286380112171173, 0.030106188729405403, 0.02698606811463833, 0.021934930235147476, 0.02079351246356964]","[5, 9, 0, 1, 2, 4, 8, 6, 3]",0.279774934053421,5
PARTICLE_MATTER,NUMBER OF CONTAINERS,[0.9788262844085693],[4],0.9788262844085693,4
95007424_PROT_CONT,REPORTING RESULT,[0.9847151041030884],[9],0.9847151041030884,9
250682_DRUG_CONT_ELO,RM3 CONCENTRATION INITIAL,"[0.9064620137214661, 0.02445901371538639, 0.015325363725423813, 0.014866833575069904]","[9, 8, 5, 0]",0.9064620137214661,9
250682_DRUG_CONT_ELO,Vf,"[0.3906479775905609, 0.1608046591281891, 0.1270824819803238, 0.09911075979471207, 0.042626842856407166, 0.03967832401394844, 0.039519891142845154, 0.02758081443607807, 0.026216328144073486]","[1, 5, 9, 2, 4, 8, 3, 0, 10]",0.3906479775905609,1
249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS1,"[0.8791599273681641, 0.021547477692365646, 0.020325548946857452, 0.015022783540189266, 0.01460669282823801]","[1, 7, 2, 0, 3]",0.8791599273681641,1
PARTICLE_MATTER,TOTAL PARTICLE CONT 10Âµ RESULT,[0.9831963777542114],[4],0.9831963777542114,4
95007424_SYSTEM,EXP CONCENTRATION SECOND BRACKET AVG,"[0.9330499768257141, 0.020634500309824944]","[9, 8]",0.9330499768257141,9
250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION INITIAL,"[0.8698662519454956, 0.026499634608626366, 0.024336403235793114, 0.016954710707068443, 0.016155248507857323]","[9, 8, 5, 0, 1]",0.8698662519454956,9
PARTICLE_MATTER,TOTAL VOL IN POOLED SAMPLE,[0.9807330369949341],[4],0.9807330369949341,4
250682_DRUG_CONT_ELO,DRUG CONTENT 1,"[0.3851608335971832, 0.24847863614559174, 0.1684558242559433, 0.03837353363633156, 0.030684104189276695, 0.023294121026992798, 0.02229178510606289, 0.021149974316358566, 0.021130980923771858]","[9, 5, 0, 1, 2, 4, 8, 7, 6]",0.3851608335971832,9
250658_CATION_EXCH,RM TOTAL PEAK MINIMUM,[0.9983173608779907],[2],0.9983173608779907,2
D_250627,MAIN PEAK_0DP,"[0.9331750273704529, 0.05448513478040695]","[2, 1]",0.9331750273704529,2
250658_CATION_EXCH,SUM PEAK 3 PEAK 4 PEAK 5,[0.9974972605705261],[2],0.9974972605705261,2
250658_CATION_EXCH,PEAK 2,[0.9984071850776672],[2],0.9984071850776672,2
95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 3,[0.9975981116294861],[8],0.9975981116294861,8
Y_SM_250580_INP1,RM PROTEIN CONC 280,[0.9802762269973755],[9],0.9802762269973755,9
249699_CAP_ELECT,MIG TIME SSS1 BELATACEPT,"[0.2814371585845947, 0.21061895787715912, 0.1894640475511551, 0.10300339758396149, 0.0909288227558136, 0.038385335355997086, 0.02492167241871357, 0.018664350733160973]","[2, 3, 1, 4, 7, 9, 10, 8]",0.2814371585845947,2
250658_CATION_EXCH,TOTAL PEAK AREA SAMPLE,[0.9993008375167847],[2],0.9993008375167847,2
250682_DRUG_CONT_ELO,RM1 CONCENTRATION FINAL,"[0.9349035620689392, 0.015014481730759144, 0.010231255553662777]","[9, 8, 0]",0.9349035620689392,9
T_95007441,UNIÃ“N ESPECÃFICA (B7) ENSAYO,"[0.4732901453971863, 0.14681820571422577, 0.12501175701618195, 0.0577920526266098, 0.04211762174963951, 0.04117748141288757, 0.03173137456178665, 0.028387362137436867, 0.018235739320516586]","[2, 4, 10, 7, 1, 3, 8, 9, 5]",0.4732901453971863,2
D_95007433,TOTAL PARTICLES PER CONTAINER 10 MICRON,[0.9891999959945679],[4],0.9891999959945679,4
Y_USPO12419_NR_CESDS,NonRed:  Sum of Undefined Peaks,"[0.6699417233467102, 0.09287439286708832, 0.0884782001376152, 0.05689914524555206, 0.05326222628355026]","[2, 0, 8, 4, 1]",0.6699417233467102,2
Y_USPO8209_UV,Protein Concentration,[0.9929574728012085],[9],0.9929574728012085,9
R_ABA_VALOR,ConcentraciÃ³n de Proteina - Abatacept,"[0.33786746859550476, 0.29357585310935974, 0.1346958428621292, 0.059302009642124176, 0.053271468728780746, 0.0339052714407444, 0.026538198813796043, 0.022023826837539673]","[2, 1, 9, 4, 3, 7, 5, 10]",0.33786746859550476,2
D_95007424,PROT CONCENTRATION UV 280 NM,[0.9918074011802673],[9],0.9918074011802673,9
Y_USPO11283_SEC,HMW,[0.9983788728713989],[3],0.9983788728713989,3
R_ABA_SDSPAGESINRED,Banda Mayoritaria,"[0.8853250741958618, 0.050478432327508926, 0.019026335328817368]","[1, 3, 0]",0.8853250741958618,1
R_PH,Valor de pH,[0.9975572824478149],[8],0.9975572824478149,8
R_ABA_SEC,Especies de bajo peso molecular,"[0.2992430627346039, 0.2754235565662384, 0.17466789484024048, 0.11720959097146988, 0.03261297196149826, 0.02338014356791973, 0.017764175310730934, 0.01724139228463173]","[2, 3, 1, 4, 5, 10, 9, 8]",0.2992430627346039,2
PARTICLE_MATTER,AVERAGE PARTICLE COUNT 25Âµ,[0.9866881966590881],[4],0.9866881966590881,4
Y_USPO12121_PTE,Potency ELISA,[0.9973734617233276],[6],0.9973734617233276,6
R_ABA_SDSPAGERED,Bandas Inesperadas (individual) <=1 %,"[0.42692995071411133, 0.4129663109779358, 0.03783634305000305, 0.032721277326345444, 0.0285309087485075, 0.016021160408854485]","[0, 1, 4, 3, 7, 9]",0.42692995071411133,0
250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION FINAL,"[0.900851845741272, 0.018369311466813087, 0.017862612381577492, 0.01384742558002472]","[9, 8, 5, 0]",0.900851845741272,9
Y_USPO12120_BDA,Activity Binding ELISA,[0.9972457885742188],[6],0.9972457885742188,6
R_ABA_SDSPAGERED,Banda Mayoritaria,"[0.8934490084648132, 0.06752603501081467]","[1, 3]",0.8934490084648132,1
P_M15720,CELL BASED POTENCY,[0.9767357707023621],[5],0.9767357707023621,5
Y_USPO11917_ICIEF,Main Peak,[0.9995273351669312],[2],0.9995273351669312,2
R_ABA_SEC,MonÃ³mero,"[0.6600601673126221, 0.15535400807857513, 0.09522086381912231, 0.024088827893137932, 0.017675157636404037]","[1, 2, 3, 10, 4]",0.6600601673126221,1
P_M13461,NIVOLUMAB PROT CONCENTRATION,[0.9893724322319031],[9],0.9893724322319031,9
P_M15491,PARTICULATE MATTER(HIAC)>=3 MICROMETERS,[0.9902423024177551],[4],0.9902423024177551,4
P_M12568,METHOD VERSION,"[0.7174462080001831, 0.1446923464536667, 0.04756145924329758, 0.020516810938715935, 0.012472090311348438, 0.01104818470776081]","[1, 2, 8, 3, 4, 5]",0.7174462080001831,1
Y_SM_250473_R,GROUP 3 pI 5.55 to 6.05,"[0.4730163514614105, 0.1963443160057068, 0.07807061076164246, 0.06145959347486496, 0.06093977391719818, 0.036584287881851196, 0.028456900268793106, 0.022327447310090065]","[4, 1, 2, 7, 8, 10, 9, 3]",0.4730163514614105,4
P_M15491,PARTICULATE MATTER(HIAC)>=5 MICROMETERS,[0.9902436137199402],[4],0.9902436137199402,4
P_M15647,LOW MOLECULAR WEIGHT SPECIES,[0.9948797225952148],[3],0.9948797225952148,3
P_M15651,METHOD VERSION,"[0.8398023843765259, 0.06189627945423126, 0.028878988698124886, 0.01675257831811905, 0.009837123565375805]","[1, 2, 8, 3, 4]",0.8398023843765259,1
Y_USPO11283_SEC,LMW,[0.9985989928245544],[3],0.9985989928245544,3
P_M15651,NIVOLUMAB ACIDIC REGION,"[0.6458743214607239, 0.09696134179830551, 0.05737607181072235, 0.05251351743936539, 0.04146324470639229, 0.028633493930101395, 0.02583272196352482, 0.017660778015851974]","[2, 4, 9, 7, 1, 5, 10, 8]",0.6458743214607239,2
P_M15648,REL RETENTION TIME MINOR PEAK 14 => LOQ,"[0.4163835048675537, 0.30158212780952454, 0.08826135843992233, 0.05979078635573387, 0.04610736295580864, 0.031060026958584785, 0.015113391913473606]","[1, 3, 4, 2, 9, 7, 8]",0.4163835048675537,1
Y_M00000176_NR_CESDS,NonRed: HHL,"[0.8081291913986206, 0.12432004511356354, 0.014916478656232357, 0.014217567630112171]","[0, 8, 7, 1]",0.8081291913986206,0
T_95007423,T_COOMASIE_NOREDUC_BANDA_PPAL_DE_ABAT,"[0.5965039134025574, 0.1336580067873001, 0.05802826210856438, 0.05698521062731743, 0.049439944326877594, 0.02632821910083294, 0.02091222070157528, 0.016570918262004852]","[3, 1, 9, 2, 7, 4, 10, 5]",0.5965039134025574,3
Y_M00000177_CESDS_R,Red: Purity heavy and light chain peaks,[0.9647059440612793],[0],0.9647059440612793,0
D_250684,CE SDS REDUCED,[0.999427318572998],[0],0.999427318572998,0
D_250658,PEAK 4,"[0.8767342567443848, 0.060673944652080536, 0.018771687522530556]","[2, 1, 10]",0.8767342567443848,2
P_M15790,METHOD_VERSION,"[0.8240721821784973, 0.051978159695863724, 0.039803292602300644, 0.030933784320950508, 0.00814883504062891]","[1, 2, 3, 8, 10]",0.8240721821784973,1
D_250191,LOW MOLECULAR WEIGHT SPECIES,[0.9953041076660156],[3],0.9953041076660156,3
D_250519,B7 BINDING,[0.9770014882087708],[7],0.9770014882087708,7
D_250682,DRUG_CONTENT_0DP_MG_VIAL,"[0.3964300751686096, 0.3839573860168457, 0.09653842449188232, 0.027897311374545097, 0.02257871814072132, 0.017667021602392197, 0.014760447666049004]","[9, 0, 5, 7, 1, 8, 6]",0.3964300751686096,9
Y_USPO12419_R_CESDS,Red: Purity heavy and light chain peaks,[0.9527441263198853],[0],0.9527441263198853,0
D_250207,HUMAN CELL IL-2 INHIBITION ASSAY,[0.976667046546936],[5],0.976667046546936,5
D_250196,B7 BINDING,[0.9771665930747986],[7],0.9771665930747986,7
D_250192,SDS COOM REDUCED ADD BAND GT 2PCT,[0.9993330836296082],[0],0.9993330836296082,0
D_250191,MONOMER,[0.9863954782485962],[3],0.9863954782485962,3
Y_USPO11917_ICIEF,Acidic Peaks,[0.9995458722114563],[2],0.9995458722114563,2
Y_USPO12419_NR_CESDS,NonRed: Purity major peak,[0.9926152229309082],[0],0.9926152229309082,0
D_250657,MONOMER,[0.9874134063720703],[3],0.9874134063720703,3
D_250602,PARTICLES >=25 UM,[0.9884653091430664],[4],0.9884653091430664,4
R_ABA_SEC,Especies de alto peso molecular,"[0.3009554445743561, 0.23618611693382263, 0.19342830777168274, 0.1561683714389801, 0.023491691797971725, 0.019562596455216408, 0.018324779346585274, 0.015619102865457535]","[2, 3, 1, 4, 5, 10, 8, 9]",0.3009554445743561,2
D_250195,TOTAL PARTICLES GTE 25 MICRON,[0.9866631627082825],[4],0.9866631627082825,4
D_250683,CE SDS NON REDUCED,[0.9994543194770813],[0],0.9994543194770813,0
D_250602,PARTICLES >= 10 UM,[0.9884960651397705],[4],0.9884960651397705,4
D_M00002527,SINGLE CHAIN NONREDUCED,"[0.26894816756248474, 0.18578259646892548, 0.16410644352436066, 0.15612471103668213, 0.07209321111440659, 0.03790268674492836, 0.023892370983958244, 0.022481925785541534, 0.01940683089196682]","[0, 5, 1, 7, 9, 10, 6, 4, 3]",0.26894816756248474,0
D_250192,SDS COOM REDUCED ADD BAND GT 1PCT,[0.9993361830711365],[0],0.9993361830711365,0
T_95007423,T_COOMASIE_REDUC_BANDA_PPAL_DE_ABAT,"[0.3944207429885864, 0.23103457689285278, 0.11338973045349121, 0.062345586717128754, 0.057381048798561096, 0.03883923590183258, 0.028228823095560074, 0.02245192974805832, 0.019800884649157524]","[3, 1, 2, 7, 9, 4, 10, 5, 8]",0.3944207429885864,3
D_250193,PROT CONCENTRATION UV 280 NM_DP,[0.9921740293502808],[9],0.9921740293502808,9
Y_USPO156_PH,pH,[0.9976679682731628],[8],0.9976679682731628,8
249699_BELA,MIG TIME BOTTLE,"[0.5647566914558411, 0.236983984708786, 0.049607861787080765, 0.04575332999229431, 0.026815006509423256, 0.017747413367033005, 0.01643250696361065]","[2, 3, 4, 1, 10, 8, 5]",0.5647566914558411,2
P_M15648,NON_GLYCOSYLATED HEAVY CHAIN,"[0.7882694602012634, 0.10040406882762909, 0.06364206969738007]","[0, 7, 9]",0.7882694602012634,0
Y_250692_BIA,Bioassay,"[0.8272600769996643, 0.05115697532892227, 0.02787039987742901, 0.016734344884753227, 0.015950504690408707, 0.011598140001296997]","[5, 9, 2, 6, 10, 8]",0.8272600769996643,5
Y_M00000176_NR_CESDS,NonRed: Purity major peak,[0.9930620789527893],[0],0.9930620789527893,0
P_M15647,MONOMER,[0.9834817051887512],[3],0.9834817051887512,3
D_95007421,MONOMER,[0.9862549304962158],[3],0.9862549304962158,3
P_M20645,METHOD VERSION,"[0.7748914361000061, 0.0939842015504837, 0.0333857536315918, 0.02111337147653103, 0.015191548503935337, 0.014785164967179298]","[1, 2, 8, 3, 4, 10]",0.7748914361000061,1
P_M15709,METHOD VERSION,"[0.7112636566162109, 0.15298065543174744, 0.045260027050971985, 0.020803844556212425, 0.01367888879030943, 0.010899101383984089]","[1, 2, 8, 3, 4, 10]",0.7112636566162109,1
R_OPDIVOINY_CONCPROT,Concentracion de proteinas,"[0.648047685623169, 0.18867696821689606, 0.04512908682227135, 0.024893805384635925, 0.017748916521668434, 0.017535904422402382, 0.016413899138569832]","[2, 1, 4, 9, 7, 5, 10]",0.648047685623169,2
R_OPDIVOINY_SEC,MonÃ²mero,"[0.7347347736358643, 0.1297951638698578, 0.047269608825445175, 0.04135124385356903]","[2, 1, 3, 4]",0.7347347736358643,2
R_OPDIVOINY_POTELISA,Potencia por ELISA,"[0.7989349365234375, 0.06469672918319702, 0.044670574367046356, 0.02277025580406189, 0.017606563866138458, 0.012971165589988232]","[6, 2, 5, 7, 1, 9]",0.7989349365234375,6
R_OPDIVOINY_PARTICUL,Particulas >= 25 um,"[0.8291102051734924, 0.09482195228338242, 0.02145090326666832, 0.011356047354638577]","[4, 1, 2, 3]",0.8291102051734924,4
P_M15491,PARTICULATE MATTER(HIAC)>=10 MICROMETERS,[0.9902874231338501],[4],0.9902874231338501,4
P_M15788,pH,[0.9976047277450562],[8],0.9976047277450562,8
P_M15491,METHOD VERSION,"[0.7315298318862915, 0.1320997178554535, 0.04716821014881134, 0.020019326359033585, 0.01213774736970663, 0.010898119769990444]","[1, 2, 8, 3, 4, 5]",0.7315298318862915,1
P_M15651,NIVOLUMAB BASIC REGION,"[0.7463670969009399, 0.10840757191181183, 0.04315773770213127, 0.024976948276162148, 0.022168561816215515, 0.018544627353549004]","[2, 4, 1, 7, 10, 9]",0.7463670969009399,2
D_250495,ADDITIONAL BANDS > 0.5% NONREDUCED,"[0.3801899254322052, 0.3788897693157196, 0.07135474681854248, 0.04467969015240669, 0.035030264407396317, 0.026919493451714516, 0.014821103774011135]","[4, 0, 7, 2, 1, 8, 5]",0.3801899254322052,4
D_250193,PCT TARGET FILL,"[0.35700565576553345, 0.19630442559719086, 0.18591192364692688, 0.1320955455303192, 0.03396474942564964, 0.02152482606470585, 0.019626015797257423, 0.012689385563135147]","[5, 9, 0, 7, 1, 6, 4, 8]",0.35700565576553345,5
D_250599,PROT CONCENTRATION_IP,[0.9913418889045715],[9],0.9913418889045715,9
P_M15491,PARTICULATE MATTER(HIAC)>=2 MICROMETERS,[0.9902538657188416],[4],0.9902538657188416,4
P_M16133,BINDING ELISA,[0.9971357583999634],[6],0.9971357583999634,6
95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 1,[0.9976052045822144],[8],0.9976052045822144,8
D_250192,SDS COOM REDUCED MAJOR BAND,[0.9993925094604492],[0],0.9993925094604492,0
P_M16133,METHOD_VERSION,"[0.7307634949684143, 0.10321763157844543, 0.056136734783649445, 0.037291910499334335, 0.012806219980120659, 0.010786031372845173]","[1, 2, 3, 8, 4, 5]",0.7307634949684143,1
P_M14772,METHOD VERSION,"[0.6849260926246643, 0.16372141242027283, 0.05069096013903618, 0.02274702675640583, 0.013415167108178139, 0.012777640484273434, 0.011878293007612228]","[1, 2, 8, 3, 4, 5, 10]",0.6849260926246643,1
P_M15651,ANTI LAG3 BASIC REGION,"[0.4568215012550354, 0.17780719697475433, 0.1517595797777176, 0.046546489000320435, 0.0409635454416275, 0.039032772183418274, 0.02995913475751877, 0.013179992325603962]","[1, 7, 2, 9, 10, 5, 4, 8]",0.4568215012550354,1
249699_CAP_ELECT,MIG TIME ABATACEPT RWS,"[0.6226494312286377, 0.28564852476119995, 0.041113872081041336, 0.009980867616832256]","[1, 3, 2, 4]",0.6226494312286377,1
P_M14710,PROTEIN CONCENTRATION,[0.9927858710289001],[9],0.9927858710289001,9
P_M20645,RESIDUAL PROTEIN A ELISA,[0.9952919483184814],[6],0.9952919483184814,6
