,analysis,Attribute_name,prediction_set,class_probabilities,labels,max_prob,label
19,250657_SIZE_HOMOG,RSD FIRST 6 REF STD INJECTIONS,"['se-uplc monomer', 'protein concentration (a280)', 'rp-hplc purity', 'spr binding activity', 'potency by cell-based bioassay']","[0.6962716579437256, 0.15342947840690613, 0.07021834701299667, 0.029439661651849747, 0.010838943533599377]","[3, 9, 1, 7, 5]",0.6962716579437256,3
20,250658_CATION_EXCH,PEAK 4,['aex main peak'],[0.998432457447052],[2],0.998432457447052,2
21,250658_CATION_EXCH,RT PEAK 1 SPL COMPARED WITH RM RT,"['rp-hplc purity', 'aex main peak', 'particulate-matter >= 25-um', 'spr binding activity', 'protein concentration (a280)', 'ph']","[0.4716969132423401, 0.3388713300228119, 0.09085851162672043, 0.03480276092886925, 0.011590622365474701, 0.008548319339752197]","[1, 2, 4, 7, 9, 8]",0.4716969132423401,1
22,D_95007433,TOTAL PARTICLES PER CONTAINER 25 MICRON,['particulate-matter >= 25-um'],[0.9891844987869263],[4],0.9891844987869263,4
23,250657_SIZE_HOMOG,LMW,['se-uplc monomer'],[0.9989437460899353],[3],0.9989437460899353,3
24,250684_CE_SDS_REDUC,SAMPLE LC RETENTION TIME,['sds-page (reduced) purity'],[0.9988526105880737],[0],0.9988526105880737,0
25,Y_SM_95007423_R,SDS COO REDUCED UNEXP NEW BAND (NUMERIC),['sds-page (reduced) purity'],[0.9993429780006409],[0],0.9993429780006409,0
26,Y_SM_250197_R,SIALIC ACID NGNA 1 DECPT,"['protein concentration (a280)', 'sds-page (reduced) purity', 'spr binding activity', 'particulate-matter >= 25-um', 'ph', 'rp-hplc purity', 'potency by cell-based bioassay', 'se-uplc monomer']","[0.3215745687484741, 0.3104509115219116, 0.15224285423755646, 0.04107249155640602, 0.03691846504807472, 0.03476152569055557, 0.03233896568417549, 0.021699868142604828]","[9, 0, 7, 4, 8, 1, 5, 3]",0.3215745687484741,9
27,D_95007423,SDS COOM NONREDUCED MAJOR BAND,['sds-page (reduced) purity'],[0.9992412328720093],[0],0.9992412328720093,0
28,D_95007424,PROTEIN  CONCENTRATION MG_ML,['protein concentration (a280)'],[0.9933028221130371],[9],0.9933028221130371,9
29,Y_SM_250735_R,PEAK M3,"['aex main peak', 'rp-hplc purity']","[0.9473564028739929, 0.034340616315603256]","[2, 1]",0.9473564028739929,2
30,Y_SM_250191_R,RM SIZE HOMOGENEITY MONOMER 1DECPT,['se-uplc monomer'],[0.9957500696182251],[3],0.9957500696182251,3
31,250580_TOTAL_PROT,TOTAL PROTEIN CONCENTRATION,['protein concentration (a280)'],[0.9933193922042847],[9],0.9933193922042847,9
32,250657_SIZE_HOMOG,PEAK HEIGHT MONOMER PEAK SAMPLE,['se-uplc monomer'],[0.9973551034927368],[3],0.9973551034927368,3
33,250658_CATION_EXCH,RM USP THEORETICAL PLATES,['aex main peak'],[0.956667959690094],[2],0.956667959690094,2
34,D_95007421,HIGH MOLECULAR WEIGHT SPECIES,['se-uplc monomer'],[0.9949238896369934],[3],0.9949238896369934,3
35,250580_TOTAL_PROT,SAMPLE 2 MASS,['protein concentration (a280)'],[0.9755591750144958],[9],0.9755591750144958,9
36,P_M13173,NIVOLUMAB PROT CONCENTRATION,['protein concentration (a280)'],[0.9891854524612427],[9],0.9891854524612427,9
37,Y_SM_250193_R,RM PROTEIN CONCENTRATION UV A280 1DECPT,['protein concentration (a280)'],[0.9930516481399536],[9],0.9930516481399536,9
38,Y_GM_95007196_R,PH 1DECPT,['ph'],[0.9975854158401489],[8],0.9975854158401489,8
39,Y_SM_250192_R,SDS COO REDUCED MAJOR BAND,['sds-page (reduced) purity'],[0.9994097948074341],[0],0.9994097948074341,0
40,250658_CATION_EXCH,PEAK 5,['aex main peak'],[0.9981589913368225],[2],0.9981589913368225,2
41,250580_TOTAL_PROT,RM3 CONCENTRATION FINAL,['protein concentration (a280)'],[0.9896777868270874],[9],0.9896777868270874,9
42,250657_SIZE_HOMOG,RM MONOMER,['se-uplc monomer'],[0.9987282156944275],[3],0.9987282156944275,3
43,249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS2,"['rp-hplc purity', 'spr binding activity', 'aex main peak', 'se-uplc monomer', 'sds-page (reduced) purity']","[0.8785892724990845, 0.02464543841779232, 0.017517343163490295, 0.016565905883908272, 0.015673154965043068]","[1, 7, 2, 3, 0]",0.8785892724990845,1
44,250683_CE_SDS_NON_RE,SS RM2 IGG,['sds-page (reduced) purity'],[0.9990693926811218],[0],0.9990693926811218,0
45,250658_CATION_EXCH,RM RT PEAK 1 PRECEEDING SAMPLE,['aex main peak'],[0.9861379265785217],[2],0.9861379265785217,2
46,Y_SM_250207_R,IL2 INHIBITION ASSAY BIOASSAY,['potency by cell-based bioassay'],[0.9604575037956238],[5],0.9604575037956238,5
47,Y_SM_250196_R,B7 BINDING  SPR,['spr binding activity'],[0.9789143800735474],[7],0.9789143800735474,7
48,250658_CATION_EXCH,PEAK 1,['aex main peak'],[0.9984442591667175],[2],0.9984442591667175,2
49,D_M00000094,PURITY OF HC AND LC PEAKS,['sds-page (reduced) purity'],[0.9983536005020142],[0],0.9983536005020142,0
50,D_250599,PROT CONCENTRATION,['protein concentration (a280)'],[0.9905561804771423],[9],0.9905561804771423,9
51,D_M00000093,SUM OF UNDEFINED PEAKS,['aex main peak'],[0.9967952370643616],[2],0.9967952370643616,2
52,D_250657,HMW,['se-uplc monomer'],[0.997113823890686],[3],0.997113823890686,3
53,D_250580,PROT CONCENTRATION,['protein concentration (a280)'],[0.9902925491333008],[9],0.9902925491333008,9
54,D_250627,MAIN PEAK_1DP,['aex main peak'],[0.9638230800628662],[2],0.9638230800628662,2
55,Y_SM_250359_R,PROTEIN CONCENTRATION UV A280NM,['protein concentration (a280)'],[0.9932577610015869],[9],0.9932577610015869,9
56,D_250629,RELATIVE POTENCY,"['potency by cell-based bioassay', 'spr binding activity', 'potency by binding elisa', 'sds-page (reduced) purity', 'rp-hplc purity', 'protein concentration (a280)', 'ph']","[0.5923118591308594, 0.17300023138523102, 0.09191726893186569, 0.041811954230070114, 0.028483921661973, 0.020918093621730804, 0.010286231525242329]","[5, 7, 6, 0, 1, 9, 8]",0.5923118591308594,5
57,D_250628,RELATIVE BINDING,['spr binding activity'],[0.9729559421539307],[7],0.9729559421539307,7
58,D_250598,LMW,['se-uplc monomer'],[0.9979159235954285],[3],0.9979159235954285,3
59,D_250601,TOTAL PARTICLES 25 MICRON,['particulate-matter >= 25-um'],[0.9892808794975281],[4],0.9892808794975281,4
60,D_M00000093,HHL,"['se-uplc monomer', 'rp-hplc purity', 'ph', 'spr binding activity', 'particulate-matter >= 25-um', 'protein concentration (a280)', 'sds-page (reduced) purity', 'aex main peak']","[0.6690893769264221, 0.08870378136634827, 0.07814262062311172, 0.03456248342990875, 0.031654130667448044, 0.02786225639283657, 0.01780051179230213, 0.015171604230999947]","[3, 1, 8, 7, 4, 9, 0, 2]",0.6690893769264221,3
61,D_M00000093,PURITY OF MAJOR PEAK,['sds-page (reduced) purity'],[0.9981275200843811],[0],0.9981275200843811,0
62,D_95007424,PCT LABEL CLAIM,"['sds-page (reduced) purity', 'potency by cell-based bioassay', 'protein concentration (a280)', 'spr binding activity', 'potency by binding elisa', 'se-uplc monomer', 'rp-hplc purity']","[0.4245482385158539, 0.2773253619670868, 0.11326535046100616, 0.07003498077392578, 0.03928425535559654, 0.01404790673404932, 0.013942195102572441]","[0, 5, 9, 7, 6, 3, 1]",0.4245482385158539,0
63,95007423_SDS_PAGE,SDS COOM ST NONREDUCED IND UNEX NEW BAND,['sds-page (reduced) purity'],[0.9993240833282471],[0],0.9993240833282471,0
64,D_250692,RELATIVE BIOASSAY,"['potency by cell-based bioassay', 'protein concentration (a280)', 'ph', 'potency by binding elisa']","[0.9153943657875061, 0.0223346259444952, 0.010707953944802284, 0.009905289858579636]","[5, 9, 8, 6]",0.9153943657875061,5
65,D_250601,TOTAL PARTICLES 10 MICRON,['particulate-matter >= 25-um'],[0.989388644695282],[4],0.989388644695282,4
66,D_250627,ACIDIC PEAKS_1DP,['aex main peak'],[0.9936782717704773],[2],0.9936782717704773,2
67,D_250598,HMW_1DP,['se-uplc monomer'],[0.9941500425338745],[3],0.9941500425338745,3
68,D_250624,TOTAL PARTICLES,['particulate-matter >= 25-um'],[0.979502260684967],[4],0.979502260684967,4
69,D_250624,SEMIQUANT EVALUATION,"['aex main peak', 'rp-hplc purity', 'particulate-matter >= 25-um', 'potency by cell-based bioassay', 'polysorbate 80', 'ph', 'potency by binding elisa']","[0.5216267704963684, 0.24804197251796722, 0.08765741437673569, 0.036890510469675064, 0.02972477674484253, 0.014279190450906754, 0.013607747852802277]","[2, 1, 4, 5, 10, 8, 6]",0.5216267704963684,2
70,D_250739,RELATIVE POTENCY,"['potency by cell-based bioassay', 'spr binding activity', 'potency by binding elisa', 'sds-page (reduced) purity', 'rp-hplc purity', 'protein concentration (a280)', 'ph']","[0.5746933221817017, 0.19168038666248322, 0.09559787809848785, 0.03949785605072975, 0.02587667852640152, 0.02144482545554638, 0.009581995196640491]","[5, 7, 6, 0, 1, 9, 8]",0.5746933221817017,5
71,D_95007424,PROT CONCENTRATION UV 280 NM_MG_VIAL,['protein concentration (a280)'],[0.9926141500473022],[9],0.9926141500473022,9
72,Y_SM_250191_R,SIZE HOMOGENEITY MONOMER 1DECPT,['se-uplc monomer'],[0.9963619112968445],[3],0.9963619112968445,3
73,US_790_VIS_PARTI,VIALS WITH VISIBLES PARTICULATES,"['sds-page (reduced) purity', 'particulate-matter >= 25-um', 'aex main peak', 'protein concentration (a280)']","[0.4724566638469696, 0.4679287374019623, 0.009448886848986149, 0.008839626796543598]","[0, 4, 2, 9]",0.4724566638469696,0
74,D_M00000094,PURITY_0DP,['sds-page (reduced) purity'],[0.9931566119194031],[0],0.9931566119194031,0
75,D_95007421,LOW MOLECULAR WEIGHT SPECIES,['se-uplc monomer'],[0.9954603314399719],[3],0.9954603314399719,3
76,249699_CAP_ELECT,MIG TIME BOTTLE,"['se-uplc monomer', 'aex main peak', 'rp-hplc purity', 'ph', 'particulate-matter >= 25-um']","[0.7821661233901978, 0.07648362219333649, 0.04774860665202141, 0.026346836239099503, 0.020113052800297737]","[3, 2, 1, 8, 4]",0.7821661233901978,3
77,D_M00000093,PURITY_0DP,['sds-page (reduced) purity'],[0.9929632544517517],[0],0.9929632544517517,0
78,249699_CAP_ELECT,MIG TIME SSS2 ABATACEPT,"['aex main peak', 'rp-hplc purity', 'spr binding activity', 'se-uplc monomer', 'particulate-matter >= 25-um', 'protein concentration (a280)', 'polysorbate 80', 'ph', 'potency by cell-based bioassay']","[0.31091955304145813, 0.1933947056531906, 0.12758243083953857, 0.11246438324451447, 0.11003052443265915, 0.04804611578583717, 0.027350477874279022, 0.01870318129658699, 0.01649107038974762]","[2, 1, 7, 3, 4, 9, 10, 8, 5]",0.31091955304145813,2
79,D_M00003744,ABATACEPT MAJOR BAND (NON-RED),"['aex main peak', 'sds-page (reduced) purity', 'particulate-matter >= 25-um', 'spr binding activity', 'rp-hplc purity', 'ph', 'protein concentration (a280)', 'potency by cell-based bioassay']","[0.41491618752479553, 0.1706245392560959, 0.12249255180358887, 0.10986041277647018, 0.07071900367736816, 0.029747596010565758, 0.01889991946518421, 0.01489277370274067]","[2, 0, 4, 7, 1, 8, 9, 5]",0.41491618752479553,2
80,95007196_PH_BUFF,BUFFER PH,['ph'],[0.9976378679275513],[8],0.9976378679275513,8
81,249699_CAP_ELECT,MIG TIME SSS1 ABATACEPT,"['aex main peak', 'rp-hplc purity', 'spr binding activity', 'particulate-matter >= 25-um', 'se-uplc monomer', 'protein concentration (a280)', 'polysorbate 80', 'ph', 'potency by cell-based bioassay']","[0.30540838837623596, 0.21290883421897888, 0.1224137619137764, 0.1099681407213211, 0.100714311003685, 0.047883231192827225, 0.028857970610260963, 0.01885932870209217, 0.01875516027212143]","[2, 1, 7, 4, 3, 9, 10, 8, 5]",0.30540838837623596,2
82,PARTICLE_MATTER,TOTAL PARTICLE COUNT 25Âµ RESULT,['particulate-matter >= 25-um'],[0.9852558374404907],[4],0.9852558374404907,4
83,250682_DRUG_CONT_ELO,SAMPLE 1 ABSORBANCE,"['protein concentration (a280)', 'potency by cell-based bioassay', 'aex main peak', 'spr binding activity']","[0.9011331796646118, 0.03074382245540619, 0.011810733936727047, 0.01087465975433588]","[9, 5, 2, 7]",0.9011331796646118,9
84,250682_DRUG_CONT_ELO,DRUG CONTENT,"['potency by cell-based bioassay', 'protein concentration (a280)', 'sds-page (reduced) purity', 'rp-hplc purity', 'aex main peak', 'particulate-matter >= 25-um', 'ph', 'potency by binding elisa', 'se-uplc monomer']","[0.279774934053421, 0.27234774827957153, 0.20283079147338867, 0.05567243695259094, 0.04286380112171173, 0.030106188729405403, 0.02698606811463833, 0.021934930235147476, 0.02079351246356964]","[5, 9, 0, 1, 2, 4, 8, 6, 3]",0.279774934053421,5
85,PARTICLE_MATTER,NUMBER OF CONTAINERS,['particulate-matter >= 25-um'],[0.9788262844085693],[4],0.9788262844085693,4
86,95007424_PROT_CONT,REPORTING RESULT,['protein concentration (a280)'],[0.9847151041030884],[9],0.9847151041030884,9
87,250682_DRUG_CONT_ELO,RM3 CONCENTRATION INITIAL,"['protein concentration (a280)', 'ph', 'potency by cell-based bioassay', 'sds-page (reduced) purity']","[0.9064620137214661, 0.02445901371538639, 0.015325363725423813, 0.014866833575069904]","[9, 8, 5, 0]",0.9064620137214661,9
88,250682_DRUG_CONT_ELO,Vf,"['rp-hplc purity', 'potency by cell-based bioassay', 'protein concentration (a280)', 'aex main peak', 'particulate-matter >= 25-um', 'ph', 'se-uplc monomer', 'sds-page (reduced) purity', 'polysorbate 80']","[0.3906479775905609, 0.1608046591281891, 0.1270824819803238, 0.09911075979471207, 0.042626842856407166, 0.03967832401394844, 0.039519891142845154, 0.02758081443607807, 0.026216328144073486]","[1, 5, 9, 2, 4, 8, 3, 0, 10]",0.3906479775905609,1
89,249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS1,"['rp-hplc purity', 'spr binding activity', 'aex main peak', 'sds-page (reduced) purity', 'se-uplc monomer']","[0.8791599273681641, 0.021547477692365646, 0.020325548946857452, 0.015022783540189266, 0.01460669282823801]","[1, 7, 2, 0, 3]",0.8791599273681641,1
90,PARTICLE_MATTER,TOTAL PARTICLE CONT 10Âµ RESULT,['particulate-matter >= 25-um'],[0.9831963777542114],[4],0.9831963777542114,4
91,95007424_SYSTEM,EXP CONCENTRATION SECOND BRACKET AVG,"['protein concentration (a280)', 'ph']","[0.9330499768257141, 0.020634500309824944]","[9, 8]",0.9330499768257141,9
92,250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION INITIAL,"['protein concentration (a280)', 'ph', 'potency by cell-based bioassay', 'sds-page (reduced) purity', 'rp-hplc purity']","[0.8698662519454956, 0.026499634608626366, 0.024336403235793114, 0.016954710707068443, 0.016155248507857323]","[9, 8, 5, 0, 1]",0.8698662519454956,9
93,PARTICLE_MATTER,TOTAL VOL IN POOLED SAMPLE,['particulate-matter >= 25-um'],[0.9807330369949341],[4],0.9807330369949341,4
94,250682_DRUG_CONT_ELO,DRUG CONTENT 1,"['protein concentration (a280)', 'potency by cell-based bioassay', 'sds-page (reduced) purity', 'rp-hplc purity', 'aex main peak', 'particulate-matter >= 25-um', 'ph', 'spr binding activity', 'potency by binding elisa']","[0.3851608335971832, 0.24847863614559174, 0.1684558242559433, 0.03837353363633156, 0.030684104189276695, 0.023294121026992798, 0.02229178510606289, 0.021149974316358566, 0.021130980923771858]","[9, 5, 0, 1, 2, 4, 8, 7, 6]",0.3851608335971832,9
95,250658_CATION_EXCH,RM TOTAL PEAK MINIMUM,['aex main peak'],[0.9983173608779907],[2],0.9983173608779907,2
96,D_250627,MAIN PEAK_0DP,"['aex main peak', 'rp-hplc purity']","[0.9331750273704529, 0.05448513478040695]","[2, 1]",0.9331750273704529,2
97,250658_CATION_EXCH,SUM PEAK 3 PEAK 4 PEAK 5,['aex main peak'],[0.9974972605705261],[2],0.9974972605705261,2
98,250658_CATION_EXCH,PEAK 2,['aex main peak'],[0.9984071850776672],[2],0.9984071850776672,2
99,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 3,['ph'],[0.9975981116294861],[8],0.9975981116294861,8
100,Y_SM_250580_INP1,RM PROTEIN CONC 280,['protein concentration (a280)'],[0.9802762269973755],[9],0.9802762269973755,9
101,249699_CAP_ELECT,MIG TIME SSS1 BELATACEPT,"['aex main peak', 'se-uplc monomer', 'rp-hplc purity', 'particulate-matter >= 25-um', 'spr binding activity', 'protein concentration (a280)', 'polysorbate 80', 'ph']","[0.2814371585845947, 0.21061895787715912, 0.1894640475511551, 0.10300339758396149, 0.0909288227558136, 0.038385335355997086, 0.02492167241871357, 0.018664350733160973]","[2, 3, 1, 4, 7, 9, 10, 8]",0.2814371585845947,2
102,250658_CATION_EXCH,TOTAL PEAK AREA SAMPLE,['aex main peak'],[0.9993008375167847],[2],0.9993008375167847,2
103,250682_DRUG_CONT_ELO,RM1 CONCENTRATION FINAL,"['protein concentration (a280)', 'ph', 'sds-page (reduced) purity']","[0.9349035620689392, 0.015014481730759144, 0.010231255553662777]","[9, 8, 0]",0.9349035620689392,9
104,T_95007441,UNIÃ“N ESPECÃFICA (B7) ENSAYO,"['aex main peak', 'particulate-matter >= 25-um', 'polysorbate 80', 'spr binding activity', 'rp-hplc purity', 'se-uplc monomer', 'ph', 'protein concentration (a280)', 'potency by cell-based bioassay']","[0.4732901453971863, 0.14681820571422577, 0.12501175701618195, 0.0577920526266098, 0.04211762174963951, 0.04117748141288757, 0.03173137456178665, 0.028387362137436867, 0.018235739320516586]","[2, 4, 10, 7, 1, 3, 8, 9, 5]",0.4732901453971863,2
105,D_95007433,TOTAL PARTICLES PER CONTAINER 10 MICRON,['particulate-matter >= 25-um'],[0.9891999959945679],[4],0.9891999959945679,4
106,Y_USPO12419_NR_CESDS,NonRed:  Sum of Undefined Peaks,"['aex main peak', 'sds-page (reduced) purity', 'ph', 'particulate-matter >= 25-um', 'rp-hplc purity']","[0.6699417233467102, 0.09287439286708832, 0.0884782001376152, 0.05689914524555206, 0.05326222628355026]","[2, 0, 8, 4, 1]",0.6699417233467102,2
107,Y_USPO8209_UV,Protein Concentration,['protein concentration (a280)'],[0.9929574728012085],[9],0.9929574728012085,9
108,R_ABA_VALOR,ConcentraciÃ³n de Proteina - Abatacept,"['aex main peak', 'rp-hplc purity', 'protein concentration (a280)', 'particulate-matter >= 25-um', 'se-uplc monomer', 'spr binding activity', 'potency by cell-based bioassay', 'polysorbate 80']","[0.33786746859550476, 0.29357585310935974, 0.1346958428621292, 0.059302009642124176, 0.053271468728780746, 0.0339052714407444, 0.026538198813796043, 0.022023826837539673]","[2, 1, 9, 4, 3, 7, 5, 10]",0.33786746859550476,2
109,D_95007424,PROT CONCENTRATION UV 280 NM,['protein concentration (a280)'],[0.9918074011802673],[9],0.9918074011802673,9
110,Y_USPO11283_SEC,HMW,['se-uplc monomer'],[0.9983788728713989],[3],0.9983788728713989,3
111,R_ABA_SDSPAGESINRED,Banda Mayoritaria,"['rp-hplc purity', 'se-uplc monomer', 'sds-page (reduced) purity']","[0.8853250741958618, 0.050478432327508926, 0.019026335328817368]","[1, 3, 0]",0.8853250741958618,1
112,R_PH,Valor de pH,['ph'],[0.9975572824478149],[8],0.9975572824478149,8
113,R_ABA_SEC,Especies de bajo peso molecular,"['aex main peak', 'se-uplc monomer', 'rp-hplc purity', 'particulate-matter >= 25-um', 'potency by cell-based bioassay', 'polysorbate 80', 'protein concentration (a280)', 'ph']","[0.2992430627346039, 0.2754235565662384, 0.17466789484024048, 0.11720959097146988, 0.03261297196149826, 0.02338014356791973, 0.017764175310730934, 0.01724139228463173]","[2, 3, 1, 4, 5, 10, 9, 8]",0.2992430627346039,2
114,PARTICLE_MATTER,AVERAGE PARTICLE COUNT 25Âµ,['particulate-matter >= 25-um'],[0.9866881966590881],[4],0.9866881966590881,4
115,Y_USPO12121_PTE,Potency ELISA,['potency by binding elisa'],[0.9973734617233276],[6],0.9973734617233276,6
116,R_ABA_SDSPAGERED,Bandas Inesperadas (individual) <=1 %,"['sds-page (reduced) purity', 'rp-hplc purity', 'particulate-matter >= 25-um', 'se-uplc monomer', 'spr binding activity', 'protein concentration (a280)']","[0.42692995071411133, 0.4129663109779358, 0.03783634305000305, 0.032721277326345444, 0.0285309087485075, 0.016021160408854485]","[0, 1, 4, 3, 7, 9]",0.42692995071411133,0
117,250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION FINAL,"['protein concentration (a280)', 'ph', 'potency by cell-based bioassay', 'sds-page (reduced) purity']","[0.900851845741272, 0.018369311466813087, 0.017862612381577492, 0.01384742558002472]","[9, 8, 5, 0]",0.900851845741272,9
118,Y_USPO12120_BDA,Activity Binding ELISA,['potency by binding elisa'],[0.9972457885742188],[6],0.9972457885742188,6
119,R_ABA_SDSPAGERED,Banda Mayoritaria,"['rp-hplc purity', 'se-uplc monomer']","[0.8934490084648132, 0.06752603501081467]","[1, 3]",0.8934490084648132,1
120,P_M15720,CELL BASED POTENCY,['potency by cell-based bioassay'],[0.9767357707023621],[5],0.9767357707023621,5
121,Y_USPO11917_ICIEF,Main Peak,['aex main peak'],[0.9995273351669312],[2],0.9995273351669312,2
122,R_ABA_SEC,MonÃ³mero,"['rp-hplc purity', 'aex main peak', 'se-uplc monomer', 'polysorbate 80', 'particulate-matter >= 25-um']","[0.6600601673126221, 0.15535400807857513, 0.09522086381912231, 0.024088827893137932, 0.017675157636404037]","[1, 2, 3, 10, 4]",0.6600601673126221,1
123,P_M13461,NIVOLUMAB PROT CONCENTRATION,['protein concentration (a280)'],[0.9893724322319031],[9],0.9893724322319031,9
124,P_M15491,PARTICULATE MATTER(HIAC)>=3 MICROMETERS,['particulate-matter >= 25-um'],[0.9902423024177551],[4],0.9902423024177551,4
125,P_M12568,METHOD VERSION,"['rp-hplc purity', 'aex main peak', 'ph', 'se-uplc monomer', 'particulate-matter >= 25-um', 'potency by cell-based bioassay']","[0.7174462080001831, 0.1446923464536667, 0.04756145924329758, 0.020516810938715935, 0.012472090311348438, 0.01104818470776081]","[1, 2, 8, 3, 4, 5]",0.7174462080001831,1
126,Y_SM_250473_R,GROUP 3 pI 5.55 to 6.05,"['particulate-matter >= 25-um', 'rp-hplc purity', 'aex main peak', 'spr binding activity', 'ph', 'polysorbate 80', 'protein concentration (a280)', 'se-uplc monomer']","[0.4730163514614105, 0.1963443160057068, 0.07807061076164246, 0.06145959347486496, 0.06093977391719818, 0.036584287881851196, 0.028456900268793106, 0.022327447310090065]","[4, 1, 2, 7, 8, 10, 9, 3]",0.4730163514614105,4
127,P_M15491,PARTICULATE MATTER(HIAC)>=5 MICROMETERS,['particulate-matter >= 25-um'],[0.9902436137199402],[4],0.9902436137199402,4
128,P_M15647,LOW MOLECULAR WEIGHT SPECIES,['se-uplc monomer'],[0.9948797225952148],[3],0.9948797225952148,3
129,P_M15651,METHOD VERSION,"['rp-hplc purity', 'aex main peak', 'ph', 'se-uplc monomer', 'particulate-matter >= 25-um']","[0.8398023843765259, 0.06189627945423126, 0.028878988698124886, 0.01675257831811905, 0.009837123565375805]","[1, 2, 8, 3, 4]",0.8398023843765259,1
130,Y_USPO11283_SEC,LMW,['se-uplc monomer'],[0.9985989928245544],[3],0.9985989928245544,3
131,P_M15651,NIVOLUMAB ACIDIC REGION,"['aex main peak', 'particulate-matter >= 25-um', 'protein concentration (a280)', 'spr binding activity', 'rp-hplc purity', 'potency by cell-based bioassay', 'polysorbate 80', 'ph']","[0.6458743214607239, 0.09696134179830551, 0.05737607181072235, 0.05251351743936539, 0.04146324470639229, 0.028633493930101395, 0.02583272196352482, 0.017660778015851974]","[2, 4, 9, 7, 1, 5, 10, 8]",0.6458743214607239,2
132,P_M15648,REL RETENTION TIME MINOR PEAK 14 => LOQ,"['rp-hplc purity', 'se-uplc monomer', 'particulate-matter >= 25-um', 'aex main peak', 'protein concentration (a280)', 'spr binding activity', 'ph']","[0.4163835048675537, 0.30158212780952454, 0.08826135843992233, 0.05979078635573387, 0.04610736295580864, 0.031060026958584785, 0.015113391913473606]","[1, 3, 4, 2, 9, 7, 8]",0.4163835048675537,1
133,Y_M00000176_NR_CESDS,NonRed: HHL,"['sds-page (reduced) purity', 'ph', 'spr binding activity', 'rp-hplc purity']","[0.8081291913986206, 0.12432004511356354, 0.014916478656232357, 0.014217567630112171]","[0, 8, 7, 1]",0.8081291913986206,0
