Unnamed: 0,Analysis,Attribute,Standard names,Unnamed: 4
39,ce_sds,"ce-sds (non-reduced),unknown impurity, rrt 2.06",ce-sds (non-reduced) purity,nan
40,bio_ce-sds_nr,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
41,ce_sds_3,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
42,ce_sds,"ce-sds (non-reduced),unknown impurity, rrt 2.01",ce-sds (non-reduced) purity,nan
43,ce_sds_2,ce-sds (non-reduced)sum of undefined peaks  purity,ce-sds (non-reduced) purity,nan
44,ce_sds_2,ce-sds (non-reduced): purity,ce-sds (non-reduced) purity,nan
45,ce_sds_2,ce-sds (non-reduced) % purity,ce-sds (non-reduced) purity,nan
46,ce_sds,ce-sds (non-reduced) % purity,ce-sds (non-reduced) purity,nan
47,ce_sds,ce-sds (non-reduced) -(% purity),ce-sds (non-reduced) purity,nan
48,ce_sds,ce-sds (non-reduced) a(y) (for each unknown impurityrrt2.02),ce-sds (non-reduced) purity,nan
49,ce_sds,ce-sds (non-reduced) a(y) (for each unknown impurityrrt1.99),ce-sds (non-reduced) purity,nan
50,capillary_electrophoresis,cge-sds non-reduced purity,ce-sds (non-reduced) purity,nan
51,ce_sds,ce-sds (non-reduced) purity of heavy and light chain peaks,ce-sds (non-reduced) purity,nan
52,ce_sds_2,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
53,ce_sds,"ce-sds (non-reduced),unknown impurity, rrt 2.02",ce-sds (non-reduced) purity,nan
54,ce_sds,"ce-sds (non-reduced),unknown impurity, rrt 1.76",ce-sds (non-reduced) purity,nan
55,ce_sds_2,ce-sds (non-reduced) %purity,ce-sds (non-reduced) purity,nan
56,ce_sds,ce-sds (non-reduced) a(y) (for each unknown impurity 7),ce-sds (non-reduced) purity,nan
57,ce_sds,ce-sds (non-reduced) a(y) (for each unknown impurity 6),ce-sds (non-reduced) purity,nan
58,ce_sds,ce-sds (non-reduced) a(y) (for each unknown impurity),ce-sds (non-reduced) purity,nan
59,ce_sds,ce sds (non-reduced) monomer,ce-sds (non-reduced) purity,nan
60,ce_sds,ce-sds (nr) - corrected area% of igg purity,ce-sds (non-reduced) purity,nan
61,ce_sds_2,ce-sds (non-reduced) % purity,ce-sds (non-reduced) purity,nan
62,ce_sds_2,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
63,ce_sds,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
64,ce_sds,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
65,ce_sds,ce-sds (non-reduced)  purity of major peak,ce-sds (non-reduced) purity,nan
66,ce_sds_2,ce-sds (non-reduced) sum of undefined peaks purity,ce-sds (non-reduced) purity,nan
67,ce_sds_2,ce-sds (reduced)% purity,ce-sds (reduced) purity,nan
68,ce_sds,ce-sds (reduced) -(%purity),ce-sds (reduced) purity,nan
69,ce_sds,ce-sds (reduced): purity,ce-sds (reduced) purity,nan
70,ce_sds_2,ce-sds (reduced) purity of heavy and light chain peaks,ce-sds (reduced) purity,nan
71,ce_sds,ce-sds (reduced) %  purity,ce-sds (reduced) purity,nan
72,capillary_electrophoresis_2,cge-sds reduced purity,ce-sds (reduced) purity,nan
73,ce_sds,"ce-sds (reduced),unknown impurity, rrt 0.06",ce-sds (reduced) purity,nan
74,ce_sds,"ce-sds (reduced),unknown impurity, rrt 1.16",ce-sds (reduced) purity,nan
75,ce_sds_2,ce-sds (reduced) purity (hc + lc),ce-sds (reduced) purity,nan
76,ce_sds_2,ce-sds (reduced) purity,ce-sds (reduced) purity,nan
77,ce_sds_2,ce-sds (reduced) %purity,ce-sds (reduced) purity,nan
78,ce_sds_2,ce-sds (reduced) % purity,ce-sds (reduced) purity,nan
79,ce_sds,ce-sds (reduced) % purity,ce-sds (reduced) purity,nan
80,ce_sds,ce-sds (reduced) % nghc purity,ce-sds (reduced) purity,nan
81,ce_sds_2,ce-sds (reduced) purity (lc+hc+nghc),ce-sds (reduced) purity,nan
82,ce_sds_2,cge (reduced) total purity,ce-sds (reduced) purity,nan
83,ce_sds,ce-sds (reduced) purity (non-glycosylated heavy chain),ce-sds (reduced) purity,nan
84,ce_sds,ce-sds (reduced) purity (light chain),ce-sds (reduced) purity,nan
85,ce_sds,ce-sds (reduced) purity (hc+lc+ng-hc),ce-sds (reduced) purity,nan
86,ce_sds,ce-sds (reduced) purity (heavy chain),ce-sds (reduced) purity,nan
87,bio_ce-sds_r,ce-sds (r) purity [ce-sds (reduced) purity],ce-sds (reduced) purity,nan
88,ce_sds_2,ce-sds (reduced) purity (hc+lc),ce-sds (reduced) purity,nan
89,ce_sds,ce-sds (reduced) a(y) (for each unknown impurity),ce-sds (reduced) purity,nan
90,ce_sds,ce-sds (reduced) purity of heavy and light chain  peaks,ce-sds (reduced) purity,nan
91,ce_sds_3,ce-sds (reduced) purity,ce-sds (reduced) purity,nan
92,ce_sds_2,ce-sds (reduced) purity,ce-sds (reduced) purity,nan
93,ce_sds_2,ce-sds (reduced) purity,ce-sds (reduced) purity,nan
94,bio_ce-sds_r,ce-sds (reduced) purity,ce-sds (reduced) purity,nan
95,ce_hplc,cex basic peaks,cex basic peaks,nan
96,ce_hplc,cex acidic peaks,cex acidic peaks,nan
97,ce_hplc_2,cex-hplc acidic peaks,cex acidic peaks,nan
98,ce_hplc_2,cex acidic peaks cumulative area,cex acidic peaks,nan
99,ce_hplc,cex-hplc acidic peaks,cex acidic peaks,nan
100,ce_hplc,cex acidic peaks,cex acidic peaks,nan
101,ce_hplc,cex - % acidic peaks,cex acidic peaks,nan
102,ce_hplc,cex acidic peaks cumulative area,cex acidic peaks,nan
103,ce_hplc,cation exchange chromatography acidic peak,cex acidic peaks,nan
104,y_sm_250658_r,cex acidic group 0 decpt,cex acidic peaks,nan
105,y_sm_250658_r,rm cex acidic group,cex acidic peaks,nan
106,ce_hplc,cex basic peaks cumulative area,cex basic peaks,nan
107,ce_hplc,cex-hplc basic peaks,cex basic peaks,nan
108,ce_hplc,cex basic group,cex basic peaks,nan
109,ce_hplc,cex main peaks,cex main peak,nan
110,ce_hplc,cex acidic group,cex acidic peaks,nan
111,ce_hplc_2,cex-hplc basic peaks,cex basic peaks,nan
112,ce_hplc_2,cex basic peaks cumulative area,cex basic peaks,nan
113,ce_hplc,cex basic peaks,cex basic peaks,nan
114,ce_hplc,cex - % basic peaks,cex basic peaks,nan
115,ce_hplc,cex main peaks,cex main peak,nan
116,ce_hplc,cex - % main peak,cex main peak,nan
117,ce_hplc,cex hplc main peak,cex main peak,nan
118,ce_hplc,cex main peaks  area,cex main peak,nan
119,ce_hplc,cex-hplc (main peak),cex main peak,nan
120,ce_hplc_2,cex main peak,cex main peak,nan
121,ce_hplc,cex-hplc main peak,cex main peak,nan
122,ce_hplc,cex main peaks,cex main peak,nan
123,ce_hplc,cex-hplc main peak area,cex main peak,nan
124,ce_hplc,cex-% main peak,cex main peak,nan
125,hplc_4,cex hplc main peak,cex main peak,nan
126,ce_hplc,cex main peak area,cex main peak,nan
127,ce_hplc,cex main peaks cumulative area,cex main peak,nan
128,ce_hplc_2,cex-hplc main peak,cex main peak,nan
129,ce_hplc,cex main peak,cex main peak,nan
130,ce_hplc_2,cex main peak cumulative area,cex main peak,nan
131,ce_hplc,cex acidic group cumulative area,cex acidic peaks,nan
132,ce_hplc,cex-% basic variants,cex basic peaks,nan
133,ce_hplc_2,cex main peak,cex main peak,nan
134,bio_icief,icief nivo acidic peaks cumulative area,icief acidic peaks,nan
135,bio_icief,icief acidic peaks cumulative area {nivo},icief acidic peaks,nan
136,bio_icief,icief acidic peaks cumulative area,icief acidic peaks,nan
137,isoelectric_focusing,icief acidic peaks cumulative area,icief acidic peaks,nan
138,icief,icief (charge heterogeneity) acidic peaks (cumulative area),icief acidic peaks,nan
139,bio_icief,acidic group [icief alag3 acidic peaks cumulative area],icief acidic peaks,nan
140,bio_icief,icief (acidic peaks cumulative area),icief acidic peaks,nan
141,icief,icief (acidic peaks cumulative area)  nivolumab,icief acidic peaks,nan
142,icief_2,icief acidic peaks cumulative area,icief acidic peaks,nan
143,a_250627,icief acidic peaks,icief acidic peaks,nan
144,icief,icief acidic peaks lag3 cumulative area,icief acidic peaks,nan
145,icief,icief_2 (result) [ icief acidic peaks cumulative area],icief acidic peaks,nan
146,icief,icief acidic peaks nivo cumulative area,icief acidic peaks,nan
147,bio_icief,acidic group [icief acidic peaks cumulative area alag3],icief acidic peaks,nan
148,icief,icief acidic peaks (cumulative area),icief acidic peaks,nan
149,icief,icief acidic peaks cumulative area bms -936558,icief acidic peaks,nan
150,icief,icief acidic peaks cumulative area  bms -986016,icief acidic peaks,nan
151,icief,icief_2 (result) [icief acidic peaks cumulative area],icief acidic peaks,nan
152,bio_icief,icief acidic peaks,icief acidic peaks,nan
153,bio_icief,icief acidic peaks cumulative area [nivo],icief acidic peaks,nan
154,icief,icief acidic peaks cumulative area nivolumab,icief acidic peaks,nan
155,bio_icief,icief acidic peaks cumulative area{alag3},icief acidic peaks,nan
156,bio_icief,iciefacidic peaks cumulative area,icief acidic peaks,nan
157,icief,icief (acidic peaks cumulative area) nivolumab,icief acidic peaks,nan
158,icief,icief sum of acidic peaks (a% of acidic group),icief acidic peaks,nan
159,icief,icief acidic peaks cumulative area,icief acidic peaks,nan
160,bio_icief,icief anti lag 3 acidic peaks cumulative area,icief acidic peaks,nan
161,icief,icief (acidic peaks cumulative area) ipilimumab,icief acidic peaks,nan
162,bio_icief,icief sum of acidic peaks,icief acidic peaks,nan
163,icief,icief sum of acidic peaks,icief acidic peaks,nan
164,icief_2,icief sum of acidic peaks (a% of acidic group),icief acidic peaks,nan
165,icief,icief (acidic peaks cumulative area),icief acidic peaks,nan
166,bio_icief,icief acidic peaks cumulative area{nivo},icief acidic peaks,nan
167,icief,icief acidic peaks cumulative area bms 936558,icief acidic peaks,nan
168,icief,icief acidic peaks cumulative area bms 986016,icief acidic peaks,nan
169,bio_icief,icief sum of acidic peaks (a% of acidic group),icief acidic peaks,nan
170,bio_icief,icief acidic peaks cumulative area {alag3},icief acidic peaks,nan
171,icief,icief (acidic peaks cumulative area) ipi,icief acidic peaks,nan
172,bio_icief,icief sum of acidic peaks,icief acidic peaks,nan
173,icief,cief basic peaks,icief basic  peaks,nan
174,icief,cief acidic peaks,icief acidic peaks,nan
175,icief,cief main peak,icief main peak,nan
176,icief,icief (acidic peaks cumulative area) nivo,icief acidic peaks,nan
177,icief,icief sum of basic peaks,icief basic peaks,nan
178,bio_icief,icief basic peaks cumulative area{alag3},icief basic peaks,nan
179,bio_icief,icief basic peaks cumulative area,icief basic peaks,nan
180,icief,icief (basic peaks cumulative area) ipilimumab,icief basic peaks,nan
181,icief,icief basic peaks cumulative area,icief basic peaks,nan
182,bio_icief,icief anti lag 3 basic peaks cumulative area,icief basic peaks,nan
183,bio_icief,icief basic peaks,icief basic peaks,nan
184,bio_icief,icief basic peaks cumulative area{nivo},icief basic peaks,nan
185,icief,icief basic peaks nivo cumulative area,icief basic peaks,nan
186,bio_icief,icief (basic peaks cumulative area),icief basic peaks,nan
187,bio_icief,icief sum of basic peaks,icief basic peaks,nan
188,icief,icief sum of basic peaks (a% of basic group),icief basic peaks,nan
189,bio_icief,icief basic peaks cumulative area [nivo],icief basic peaks,nan
190,bio_icief,icief nivo basic peaks cumulative area,icief basic peaks,nan
191,bio_icief,basic group [icief basic peaks cumulative area alag3],icief basic peaks,nan
192,bio_icief,basic group [icief alag3 basic peaks cumulative area],icief basic peaks,nan
193,bio_icief,icief basic peaks cumulative area {alag3},icief basic peaks,nan
194,isoelectric_focusing,icief basic peaks cumulative area,icief basic peaks,nan
195,icief,icief basic peaks lag3 cumulative area,icief basic peaks,nan
196,icief,icief (basic peaks cumulative area) ipi,icief basic peaks,nan
197,icief,icief (basic peaks cumulative area) nivolumab,icief basic peaks,nan
198,icief,icief_3 (result) [icief basic peaks cumulative area],icief basic peaks,nan
199,bio_icief,icief sum of basic peaks,icief basic peaks,nan
200,icief_2,icief basic peaks cumulative area,icief basic peaks,nan
201,icief,icief basic peaks cumulative area bms 986016,icief basic peaks,nan
202,icief,icief (basic peaks cumulative area),icief basic peaks,nan
203,icief,icief (basic peaks cumulative area) nivo,icief basic peaks,nan
204,icief_2,icief sum of basic peaks (a% of basic group),icief basic peaks,nan
205,icief,icief (charge heterogeneity) basic peaks (cumulative area),icief basic peaks,nan
206,icief,icief (basic peaks cumulative area)  nivolumab,icief basic peaks,nan
207,bio_icief,icief basic peaks cumulative area {nivo},icief basic peaks,nan
208,icief,icief basic peaks cumulative area bms-986016,icief basic peaks,nan
209,icief,icief basic peaks cumulative area bms 936558,icief basic peaks,nan
210,icief,icief basic peaks (cumulative area),icief basic peaks,nan
211,bio_icief,icief sum of basic peaks (a% of basic group),icief basic peaks,nan
212,icief,icief main peak cumulative area,icief main peak,nan
213,icief,icief (main peak pi),icief main peak,nan
214,icief,icief main peak - nivolumab,icief main peak,nan
215,icief,icief main peak - alag3,icief main peak,nan
216,bio_icief,icief main peak,icief main peak,nan
217,icief,icief main peak area,icief main peak,nan
218,icief,icief main peak,icief main peak,nan
219,isoelectric_focusing,icief main peaks cumulative area,icief main peak,nan
220,bio_icief,icief main peak area relatlimab,icief main peak,nan
221,bio_icief,icief (main peak area),icief main peak,nan
222,icief,icief (main peak) nivolumab,icief main peak,nan
223,bio_icief,icief main peak area,icief main peak,nan
224,icief,icief (main peak) ipilimumab,icief main peak,nan
225,bio_icief,icief main peak pi,icief main peak,nan
226,icief,main peak icief,icief main peak,nan
227,bio_icief,icief anti lag 3 main peak area,icief main peak,nan
228,a_250627,icief main peak,icief main peak,nan
229,icief,icief main peaks cumulative area,icief main peak,nan
230,icief,icief main peak relatlimab (% of cumulative area),icief main peak,nan
231,bio_icief,icief main peak area,icief main peak,nan
232,icief,icief main peak nivolumab (% of cumulative area),icief main peak,nan
233,bio_icief,icief main peaks cumulative area,icief main peak,nan
234,bio_icief,icief main peak area nivolumab,icief main peak,nan
235,bio_icief,icief main peak cumulative area,icief main peak,nan
236,icief,icief main peak a%,icief main peak,nan
237,bio_icief,icief nivo main peak area,icief main peak,nan
238,icief,icief (result)icief main peak area,icief main peak,nan
239,icief,icief main peak pl,icief main peak,nan
240,icief,icief main peak area nivolumab,icief main peak,nan
241,icief,icief main peak area relatlimab,icief main peak,nan
242,icief,icief (main peak pl),icief main peak,nan
243,icief,icief (main peak area),icief main peak,nan
244,bio_icief,icief (main peak group cumulative area),icief main peak,nan
245,bio_icief,icief main peak area (anti-lag3),icief main peak,nan
246,bio_icief,icief main peak area (nivo),icief main peak,nan
247,bio_icief,main peak [icief main peak area {alag3},icief main peak,nan
248,icief,icief main peaks lag3 cumulative area,icief main peak,nan
249,icief,icief (main peaks cumulative area) nivolumab,icief main peak,nan
250,bio_icief,icief (main peak),icief main peak,nan
251,icief,icief: main peak,icief main peak,nan
252,bio_icief,icief main peak area {nivo},icief main peak,nan
253,bio_icief,icief main peak area {alag3},icief main peak,nan
254,icief,icief main peaks cumulative area bms-986016,icief main peak,nan
255,icief,icief main peaks cumulative area bms-936558,icief main peak,nan
256,bio_icief,icief main peaks area,icief main peak,nan
257,bio_icief,icief main peak a%,icief main peak,nan
258,icief,icief (result) [icief main peaks cumulative area],icief main peak,nan
259,icief_2,icief main peak area %,icief main peak,nan
260,bio_icief,icief main peak area,icief main peak,nan
261,icief,identity (icief)  (main peak pi),icief main peak,nan
262,bio_icief,icief main peak area [nivo],icief main peak,nan
263,icief,icief main peak cumulative area bms 986016,icief main peak,nan
264,bio_icief,icief main peaks,icief main peak,nan
265,bio_icief,icief main peak cumulative area %,icief main peak,nan
266,bio_icief,icief main peak area{nivo},icief main peak,nan
267,bio_icief,icief (main peaks cumulative area),icief main peak,nan
268,icief,icief (main peaks cumulative area) ipilimumab,icief main peak,nan
269,bio_icief,icief main peak area (nivolumab),icief main peak,nan
270,bio_icief,icief main peak relatlimab (% of cumulative area),icief main peak,nan
271,icief,icief (charge heterogeneity) main peak,icief main peak,nan
272,bio_icief,icief main peak area (relatlimab),icief main peak,nan
273,bio_icief,icief main peak,icief main peak,nan
274,icief,icief (main peaks cumulative area) ipi,icief main peak,nan
275,icief,icief main peaks nivo cumulative area,icief main peak,nan
276,icief,icief (main peak cumulative area),icief main peak,nan
277,icief,icief (main peaks cumulative area) nivo,icief main peak,nan
278,icief_2,icief main peak area,icief main peak,nan
279,icief,icief main peaks cumulative area bms 986016,icief main peak,nan
280,bio_icief,icief main peak,icief main peak,nan
281,icief,icief main peaks cumulative area bms 936558,icief main peak,nan
282,icief,icief main peak pi,icief main peak,nan
283,bio_icief,main peak [icief alag3 main peak area],icief main peak,nan
284,bio_icief,icief main peak nivolumab (% of cumulative area),icief main peak,nan
285,icief_2,icief main peak cumulative area,icief main peak,nan
286,bio_icief,cief acidic peaks,icief acidic peaks,nan
287,icief,cief acidic peaks cumulative area bms 986016,icief acidic peaks,nan
288,icief,cief acidic peaks,icief acidic peaks,nan
289,isoelectric_focusing,ief acidic peaks (pre peaks),ief acidic peaks,nan
290,icief,cief basic peaks cumulative area bms 986016,icief basic peaks,nan
291,icief,cief basic peaks,icief basic peaks,nan
292,isoelectric_focusing,ief basic peaks (post peaks),ief basic peaks,nan
293,bio_icief,cief basic peaks,icief basic peaks,nan
294,bio_icief,cief main peak,icief main peak,nan
295,isoelectric_focusing,area% main peak,ief main peak,nan
296,isoelectric_focusing,sum area% basic peaks,ief basic peaks,nan
297,isoelectric_focusing,sum area% acidic peaks,ief acidic peaks,nan
298,isoelectric_focusing,sum area% main peak,ief main peak,nan
299,isoelectric_focusing,sum area% basic peak,ief basic peaks,nan
300,isoelectric_focusing,sum area% acidic peak,ief acidic peaks,nan
301,isoelectric_focusing,ief main peak,ief main peak,nan
302,icief,cief main peak,icief main peak,nan
303,se_hplc,size exclusion chromatography lmw,se-hplc lmw,nan
304,se_hplc,size exclusion chromatography hmw,se-hplc hmw,nan
305,bioassay,microsphere relative potency,potency by cell-based bioassay,nan
306,ph,ph (25 ãâ±3oc),ph,nan
307,ph,temperature (ph),ph,nan
308,se_hplc,size exclusion chromatography monomer,se-hplc monomer,nan
309,ph,individual ph (measured at 25 degree c),ph,nan
310,ph,ph (measured at 25 degree c),ph,nan
311,ph,ph,ph,nan
312,ph,individual ph,ph,nan
313,ph,ph,ph,nan
314,ph,ph / 2,ph,nan
315,ph,[individual ph],ph,nan
316,se_hplc,size exclusion chromatography area% sum hmwp,se-hplc hmw,nan
317,ph,ph / 1,ph,nan
318,se_hplc,size exclusion chromatography area% sum lmwp,se-hplc lmw,nan
319,ph,inidividual ph (measured at 25 degree c),ph,nan
320,ph,ph (measured at 25 degree),ph,nan
321,ph,individual ph (measured at 25 degreec),ph,nan
322,ph,individual ph/1,ph,nan
323,ph,ph / 3,ph,nan
324,ph,ph,ph,nan
325,ph,ph individual,ph,nan
326,ph,ph reading 1 (individual reading),ph,nan
327,ph,ph 2,ph,nan
328,ph,ph (usp <791> ep: 2.2.3),ph,nan
329,ph,individual ph (usp <791> ep: 2.2.3),ph,nan
330,ph,ph (22 to 28 deg c),ph,nan
331,ph,ph 1,ph,nan
332,se_hplc,size exclusion chromatography hmwp,se-hplc hmw,nan
333,se_hplc,size exclusion chromatography lmwp,se-hplc lmw,nan
334,ph,inidividual ph,ph,nan
335,se_hplc,size exclusion chromatography area% sum hmw,se-hplc hmw,nan
336,se_hplc,size exclusion chromatography area% sum lmw,se-hplc lmw,nan
337,ph,ph average,ph,nan
338,se_hplc,size exclusion chromatography area% monomer,se-hplc monomer,nan
339,ph,ph reading 2 (individual reading),ph,nan
340,ph,ph determination at 25ãâ°c,ph,nan
341,ph,average ph / ph,ph,nan
342,ph,ph individual,ph,nan
343,c_jp_ph,ph,ph,nan
344,gbl_95007196,ph,ph,nan
345,m_95007196,ph,ph,nan
346,c_95007196,ph,ph,nan
347,a_uspo156,ph 1decpt,ph,nan
348,y_95007196_ph,ph,ph,nan
349,a_95007196,ph 1decpt,ph,nan
350,y_250432_ph,ph at 4 +/ -1 degree c,ph,nan
351,y_sm_250432_r,ph 1 decpt,ph,nan
352,d_m00003071,ph,ph,nan
353,d_jp_ph,ph,ph,nan
354,p_m12568,ph,ph,nan
355,t_95007196_ph,ph,ph,nan
356,j_jp_ph,ph,ph,nan
357,d_250432,ph,ph,nan
358,p_m20687,ph,ph,nan
359,y_jp_ph,jp ph,ph,nan
360,p_7196,ph,ph,nan
361,95007196_ph_diaf,ph diafiltration sample 1,ph,nan
362,p_m15788,ph,ph,nan
363,y_uspo156_ph,ph,ph,nan
364,r_ph,valor de ph,ph,nan
365,95007196_ph_diaf,ph diafiltration sample 3,ph,nan
366,95007196_ph_buff,buffer ph,ph,nan
367,y_gm_95007196_r,ph 1decpt,ph,nan
368,95007196_ph,ph,ph,nan
369,d_95007196,ph,ph,nan
370,ph,ph rep,ph,nan
371,95007196_ph_diaf,ph diafiltration sample 2,ph,nan
372,j_tc-b-p16,ph,ph,nan
373,jp_ph,ph,ph,nan
374,ph,individual ph (at 25+/-3 deg c),ph,nan
375,ph,individual ph,ph,nan
376,ph,average ph,ph,nan
377,ph,individual ph,ph,nan
378,ph,ph (at 25+/-3 deg c),ph,nan
379,ph_2,ph,ph,nan
380,ph,ph,ph,nan
381,j_tc-b-p15,ph,ph,nan
382,hplc,polysorbate 80,polysorbate 80,nan
383,y_sm_250742_r,polysorbate 80 2 decpt,polysorbate 80,nan
384,polysorbate_80,polysorbate 80 content,polysorbate 80,nan
385,d_250600,polysorbate 80,polysorbate 80,nan
386,p_m20812,polysorbate 80,polysorbate 80,nan
387,biological_assay,polysorbate 80,polysorbate 80,nan
388,polysorbate_80,polysorbate 80,polysorbate 80,nan
389,polysorbate_80,polysorbate 80 (ps80),polysorbate 80,nan
390,polysorbate_80,polysorbate 80,polysorbate 80,nan
391,c_250600,polysorbate 80,polysorbate 80,nan
392,m_250742,polysorbate 80,polysorbate 80,nan
393,m_250742,polysorbate 80,nan,polysorbate 80
394,a_250600,polysorbate 80,polysorbate 80,nan
395,elisa_2,potency (elisa),potency by binding elisa,nan
396,elisa_2,binding activity (elisa) relative to reference standard,potency by binding elisa,nan
397,elisa_binding,potency (elisa) relative to reference std (result),potency by binding elisa,nan
398,elisa_binding_2,binding potency of nivo (elisa),potency by binding elisa,nan
399,elisa,potency by binding elisa,potency by binding elisa,nan
400,elisa_binding,binding potency of ipi (elisa),potency by binding elisa,nan
401,elisa_2,potency elisa relative to reference standard,potency by binding elisa,nan
402,elisa_binding,potency (elisa) cd3,potency by binding elisa,nan
403,elisa_binding_2,potency (elisa) fcrh5,potency by binding elisa,nan
404,activity_elisa,binding activity by elisa,potency by binding elisa,nan
405,elisa_binding,elisa binding potency (toxin on mab),potency by binding elisa,nan
406,elisa_binding,potency (elisa) binding capacity relative to reference stand,potency by binding elisa,nan
407,elisa_2,potency (elisa) fcrh5,potency by binding elisa,nan
408,elisa,potency (elisa) cd3,potency by binding elisa,nan
409,elisa_binding,potency (elisa) fcrh5,potency by binding elisa,nan
410,elisa_binding_2,potency (elisa),potency by binding elisa,nan
411,elisa_binding_2,potency (elisa) cd3,potency by binding elisa,nan
412,elisa_binding,binding activity elisa,potency by binding elisa,nan
413,elisa_2,potency binding elisa (relative potency),potency by binding elisa,nan
414,elisa,binding activity elisa,potency by binding elisa,nan
415,elisa_binding,potency by elisa,potency by binding elisa,nan
416,elisa_binding,binding elisa (potency),potency by binding elisa,nan
417,activity_elisa,binding activity (elisa) relative to reference standard,potency by binding elisa,nan
418,elisa_binding,relative binding activity (elisa),potency by binding elisa,nan
419,elisa,relative potency (elisa),potency by binding elisa,nan
420,elisa_binding,elisa binding activity relative to reference standard,potency by binding elisa,nan
421,elisa,potency (elisa) binding capacity relative to reference stand,potency by binding elisa,nan
422,elisa,potency by elisa relative to the reference standard,potency by binding elisa,nan
423,elisa_binding,binding activity(elisa) nivolumab(relative to ref. standard),potency by binding elisa,nan
424,elisa,potency (elisa) nivolumab,potency by binding elisa,nan
425,elisa_2,binding activity (elisa) nivolumab (relative to ref std),potency by binding elisa,nan
426,elisa,binding activity (elisa) ipilimumab,potency by binding elisa,nan
427,c_250685,slamf7 binding elisa relative potency,potency by binding elisa,nan
428,m_250685,slamf7 binding elisa relative potency,potency by binding elisa,nan
429,a_uspo1199,binding activity (elisa),potency by binding elisa,nan
430,elisa,potency binding elisa (relative potency),potency by binding elisa,nan
431,elisa_binding,potency (elisa),potency by binding elisa,nan
432,elisa_binding,potency (elisa) (result),potency by binding elisa,nan
433,a_250629,potency elisa,potency by binding elisa,nan
