,Analysis,Attribute,Standard names
80,CE_SDS,CE-SDS (REDUCED) % NGHC PURITY,CE-SDS (REDUCED) PURITY
81,CE_SDS_2,CE-SDS (REDUCED) PURITY (LC+HC+NGHC),CE-SDS (REDUCED) PURITY
82,CE_SDS_2,CGE (Reduced) Total Purity,CE-SDS (REDUCED) PURITY
83,CE_SDS,CE-SDS (REDUCED) PURITY (NON-GLYCOSYLATED HEAVY CHAIN),CE-SDS (REDUCED) PURITY
84,CE_SDS,CE-SDS (REDUCED) PURITY (LIGHT CHAIN),CE-SDS (REDUCED) PURITY
85,CE_SDS,CE-SDS (REDUCED) PURITY (HC+LC+NG-HC),CE-SDS (REDUCED) PURITY
86,CE_SDS,CE-SDS (REDUCED) PURITY (HEAVY CHAIN),CE-SDS (REDUCED) PURITY
87,BIO_CE-SDS_R,CE-SDS (R) PURITY [CE-SDS (REDUCED) PURITY],CE-SDS (REDUCED) PURITY
88,CE_SDS_2,CE-SDS (REDUCED) PURITY (HC+LC),CE-SDS (REDUCED) PURITY
89,CE_SDS,CE-SDS (REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY),CE-SDS (REDUCED) PURITY
90,CE_SDS,CE-SDS (REDUCED) PURITY OF HEAVY AND LIGHT CHAIN  PEAKS,CE-SDS (REDUCED) PURITY
91,CE_SDS_3,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
92,CE_SDS_2,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
93,CE_SDS_2,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
94,BIO_CE-SDS_R,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
95,CE_HPLC,CEX Basic Peaks ,CEX BASIC PEAKS
96,CE_HPLC,CEX Acidic Peaks ,CEX ACIDIC PEAKS
97,CE_HPLC_2,CEX-HPLC ACIDIC PEAKS,CEX ACIDIC PEAKS
98,CE_HPLC_2,CEX ACIDIC PEAKS CUMULATIVE AREA,CEX ACIDIC PEAKS
99,CE_HPLC,CEX-HPLC ACIDIC PEAKS,CEX ACIDIC PEAKS
100,CE_HPLC,CEX ACIDIC PEAKS ,CEX ACIDIC PEAKS
101,CE_HPLC,CEX - % ACIDIC PEAKS,CEX ACIDIC PEAKS
102,CE_HPLC,CEX ACIDIC PEAKS CUMULATIVE AREA,CEX ACIDIC PEAKS
103,CE_HPLC,Cation Exchange Chromatography Acidic Peak,CEX ACIDIC PEAKS
104,Y_SM_250658_R,CEX ACIDIC GROUP 0 DECPT,CEX ACIDIC PEAKS
105,Y_SM_250658_R,RM CEX ACIDIC GROUP,CEX ACIDIC PEAKS
106,CE_HPLC,CEX BASIC PEAKS CUMULATIVE AREA,CEX BASIC PEAKS
107,CE_HPLC,CEX-HPLC BASIC PEAKS,CEX BASIC PEAKS
108,CE_HPLC,CEX Basic Group,CEX BASIC PEAKS
109,CE_HPLC,CEX Main Peaks ,CEX MAIN PEAK
110,CE_HPLC,CEX Acidic Group,CEX ACIDIC PEAKS
111,CE_HPLC_2,CEX-HPLC BASIC PEAKS,CEX BASIC PEAKS
112,CE_HPLC_2,CEX BASIC PEAKS CUMULATIVE AREA,CEX BASIC PEAKS
113,CE_HPLC,CEX BASIC PEAKS ,CEX BASIC PEAKS
114,CE_HPLC,CEX - % BASIC PEAKS,CEX BASIC PEAKS
115,CE_HPLC,CEX MAIN PEAKS ,CEX MAIN PEAK
116,CE_HPLC,CEX - % MAIN PEAK,CEX MAIN PEAK
117,CE_HPLC,CEX HPLC MAIN PEAK,CEX MAIN PEAK
118,CE_HPLC,CEX MAIN PEAKS  AREA,CEX MAIN PEAK
119,CE_HPLC,CEX-HPLC (MAIN PEAK),CEX MAIN PEAK
120,CE_HPLC_2,CEX MAIN PEAK ,CEX MAIN PEAK
121,CE_HPLC,CEX-HPLC MAIN PEAK,CEX MAIN PEAK
122,CE_HPLC,CEX MAIN PEAKS,CEX MAIN PEAK
123,CE_HPLC,CEX-HPLC MAIN PEAK AREA,CEX MAIN PEAK
124,CE_HPLC,CEX-% MAIN PEAK,CEX MAIN PEAK
125,HPLC_4,CEX HPLC MAIN PEAK,CEX MAIN PEAK
126,CE_HPLC,CEX MAIN PEAK AREA,CEX MAIN PEAK
127,CE_HPLC,CEX MAIN PEAKS CUMULATIVE AREA,CEX MAIN PEAK
128,CE_HPLC_2,CEX-HPLC MAIN PEAK,CEX MAIN PEAK
129,CE_HPLC,CEX MAIN PEAK,CEX MAIN PEAK
130,CE_HPLC_2,CEX MAIN PEAK CUMULATIVE AREA,CEX MAIN PEAK
131,CE_HPLC,CEX Acidic Group Cumulative Area,CEX ACIDIC PEAKS
132,CE_HPLC,CEX-% Basic Variants,CEX BASIC PEAKS
133,CE_HPLC_2,CEX MAIN PEAK,CEX MAIN PEAK
134,BIO_ICIEF,ICIEF NIVO ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
135,BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA {NIVO},ICIEF ACIDIC PEAKS
136,BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
137,ISOELECTRIC_FOCUSING,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
138,ICIEF,ICIEF (CHARGE HETEROGENEITY) ACIDIC PEAKS (CUMULATIVE AREA),ICIEF ACIDIC PEAKS
139,BIO_ICIEF,ACIDIC GROUP [ICIEF ALAG3 ACIDIC PEAKS CUMULATIVE AREA],ICIEF ACIDIC PEAKS
140,BIO_ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) ,ICIEF ACIDIC PEAKS
141,ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA)  NIVOLUMAB,ICIEF ACIDIC PEAKS
142,ICIEF_2,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
143,A_250627,ICIEF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
144,ICIEF,ICIEF ACIDIC PEAKS LAG3 CUMULATIVE AREA,ICIEF ACIDIC PEAKS
145,ICIEF,ICIEF_2 (RESULT) [ ICIEF ACIDIC PEAKS CUMULATIVE AREA],ICIEF ACIDIC PEAKS
146,ICIEF,ICIEF ACIDIC PEAKS NIVO CUMULATIVE AREA,ICIEF ACIDIC PEAKS
147,BIO_ICIEF,ACIDIC GROUP [ICIEF ACIDIC PEAKS CUMULATIVE AREA ALAG3],ICIEF ACIDIC PEAKS
148,ICIEF,ICIEF ACIDIC PEAKS (CUMULATIVE AREA),ICIEF ACIDIC PEAKS
149,ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA BMS -936558,ICIEF ACIDIC PEAKS
150,ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA  BMS -986016,ICIEF ACIDIC PEAKS
151,ICIEF,ICIEF_2 (RESULT) [ICIEF ACIDIC PEAKS CUMULATIVE AREA],ICIEF ACIDIC PEAKS
152,BIO_ICIEF,ICIEF ACIDIC PEAKS ,ICIEF ACIDIC PEAKS
153,BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA [NIVO],ICIEF ACIDIC PEAKS
154,ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA NIVOLUMAB,ICIEF ACIDIC PEAKS
155,BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA{ALAG3},ICIEF ACIDIC PEAKS
156,BIO_ICIEF,ICIEFACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
157,ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) NIVOLUMAB,ICIEF ACIDIC PEAKS
158,ICIEF,ICIEF SUM OF ACIDIC PEAKS (A% OF ACIDIC GROUP),ICIEF ACIDIC PEAKS
159,ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
160,BIO_ICIEF,ICIEF ANTI LAG 3 ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
161,ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) IPILIMUMAB,ICIEF ACIDIC PEAKS
162,BIO_ICIEF,ICIEF SUM OF ACIDIC PEAKS ,ICIEF ACIDIC PEAKS
163,ICIEF,ICIEF SUM OF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
164,ICIEF_2,ICIEF SUM OF ACIDIC PEAKS (A% OF ACIDIC GROUP),ICIEF ACIDIC PEAKS
165,ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA),ICIEF ACIDIC PEAKS
166,BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA{NIVO},ICIEF ACIDIC PEAKS
167,ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA BMS 936558,ICIEF ACIDIC PEAKS
168,ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF ACIDIC PEAKS
169,BIO_ICIEF,ICIEF SUM OF ACIDIC PEAKS (A% OF ACIDIC GROUP),ICIEF ACIDIC PEAKS
170,BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA {ALAG3},ICIEF ACIDIC PEAKS
171,ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) IPI,ICIEF ACIDIC PEAKS
172,BIO_ICIEF,ICIEF SUM OF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
173,ICIEF,cIEF Basic peaks,ICIEF BASIC PEAKS
174,ICIEF,cIEF Acidic peaks,ICIEF ACIDIC PEAKS
175,ICIEF,cIEF Main peak,ICIEF MAIN PEAK
176,ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) NIVO,ICIEF ACIDIC PEAKS
177,ICIEF,ICIEF SUM OF BASIC PEAKS,ICIEF BASIC PEAKS
178,BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA{ALAG3},ICIEF BASIC PEAKS
179,BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
180,ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) IPILIMUMAB,ICIEF BASIC PEAKS
181,ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
182,BIO_ICIEF,ICIEF ANTI LAG 3 BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
183,BIO_ICIEF,ICIEF BASIC PEAKS ,ICIEF BASIC PEAKS
184,BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA{NIVO},ICIEF BASIC PEAKS
185,ICIEF,ICIEF BASIC PEAKS NIVO CUMULATIVE AREA,ICIEF BASIC PEAKS
186,BIO_ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA),ICIEF BASIC PEAKS
187,BIO_ICIEF,ICIEF SUM OF BASIC PEAKS ,ICIEF BASIC PEAKS
188,ICIEF,ICIEF SUM OF BASIC PEAKS (A% OF BASIC GROUP),ICIEF BASIC PEAKS
189,BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA [NIVO],ICIEF BASIC PEAKS
190,BIO_ICIEF,ICIEF NIVO BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
191,BIO_ICIEF,BASIC GROUP [ICIEF BASIC PEAKS CUMULATIVE AREA ALAG3],ICIEF BASIC PEAKS
192,BIO_ICIEF,BASIC GROUP [ICIEF ALAG3 BASIC PEAKS CUMULATIVE AREA],ICIEF BASIC PEAKS
193,BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA {ALAG3},ICIEF BASIC PEAKS
194,ISOELECTRIC_FOCUSING,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
195,ICIEF,ICIEF BASIC PEAKS LAG3 CUMULATIVE AREA,ICIEF BASIC PEAKS
196,ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) IPI,ICIEF BASIC PEAKS
197,ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) NIVOLUMAB,ICIEF BASIC PEAKS
198,ICIEF,ICIEF_3 (RESULT) [ICIEF BASIC PEAKS CUMULATIVE AREA],ICIEF BASIC PEAKS
199,BIO_ICIEF,ICIEF SUM OF BASIC PEAKS,ICIEF BASIC PEAKS
200,ICIEF_2,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
201,ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF BASIC PEAKS
202,ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA),ICIEF BASIC PEAKS
203,ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) NIVO,ICIEF BASIC PEAKS
204,ICIEF_2,ICIEF SUM OF BASIC PEAKS (A% OF BASIC GROUP),ICIEF BASIC PEAKS
205,ICIEF,ICIEF (CHARGE HETEROGENEITY) BASIC PEAKS (CUMULATIVE AREA),ICIEF BASIC PEAKS
206,ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA)  NIVOLUMAB,ICIEF BASIC PEAKS
207,BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA {NIVO},ICIEF BASIC PEAKS
208,ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA BMS-986016,ICIEF BASIC PEAKS
209,ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA BMS 936558,ICIEF BASIC PEAKS
210,ICIEF,ICIEF BASIC PEAKS (CUMULATIVE AREA),ICIEF BASIC PEAKS
211,BIO_ICIEF,ICIEF SUM OF BASIC PEAKS (A% OF BASIC GROUP),ICIEF BASIC PEAKS
212,ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA,ICIEF MAIN PEAK
213,ICIEF,ICIEF (MAIN PEAK PI),ICIEF MAIN PEAK
214,ICIEF,ICIEF MAIN PEAK - NIVOLUMAB,ICIEF MAIN PEAK
215,ICIEF,ICIEF MAIN PEAK - ALAG3,ICIEF MAIN PEAK
216,BIO_ICIEF,ICIEF MAIN PEAK,ICIEF MAIN PEAK
217,ICIEF,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
218,ICIEF,ICIEF MAIN PEAK,ICIEF MAIN PEAK
219,ISOELECTRIC_FOCUSING,ICIEF MAIN PEAKS CUMULATIVE AREA,ICIEF MAIN PEAK
220,BIO_ICIEF,ICIEF MAIN PEAK AREA RELATLIMAB,ICIEF MAIN PEAK
221,BIO_ICIEF,ICIEF (MAIN PEAK AREA),ICIEF MAIN PEAK
222,ICIEF,ICIEF (MAIN PEAK) NIVOLUMAB,ICIEF MAIN PEAK
223,BIO_ICIEF,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
224,ICIEF,ICIEF (MAIN PEAK) IPILIMUMAB,ICIEF MAIN PEAK
225,BIO_ICIEF,ICIEF MAIN PEAK PI,ICIEF MAIN PEAK
226,ICIEF,MAIN PEAK ICIEF,ICIEF MAIN PEAK
227,BIO_ICIEF,ICIEF ANTI LAG 3 MAIN PEAK AREA,ICIEF MAIN PEAK
228,A_250627,ICIEF MAIN PEAK,ICIEF MAIN PEAK
229,ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA,ICIEF MAIN PEAK
230,ICIEF,ICIEF MAIN PEAK RELATLIMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
231,BIO_ICIEF,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
232,ICIEF,ICIEF MAIN PEAK NIVOLUMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
233,BIO_ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA,ICIEF MAIN PEAK
234,BIO_ICIEF,ICIEF MAIN PEAK AREA NIVOLUMAB,ICIEF MAIN PEAK
235,BIO_ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA,ICIEF MAIN PEAK
236,ICIEF,ICIEF MAIN PEAK A%,ICIEF MAIN PEAK
237,BIO_ICIEF,ICIEF NIVO MAIN PEAK AREA,ICIEF MAIN PEAK
238,ICIEF,ICIEF (RESULT)ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
239,ICIEF,ICIEF MAIN PEAK PL,ICIEF MAIN PEAK
240,ICIEF,ICIEF MAIN PEAK AREA NIVOLUMAB,ICIEF MAIN PEAK
241,ICIEF,ICIEF MAIN PEAK AREA RELATLIMAB,ICIEF MAIN PEAK
242,ICIEF,ICIEF (MAIN PEAK PL),ICIEF MAIN PEAK
243,ICIEF,ICIEF (MAIN PEAK AREA),ICIEF MAIN PEAK
244,BIO_ICIEF,ICIEF (MAIN PEAK GROUP CUMULATIVE AREA),ICIEF MAIN PEAK
245,BIO_ICIEF,ICIEF MAIN PEAK AREA (ANTI-LAG3),ICIEF MAIN PEAK
246,BIO_ICIEF,ICIEF MAIN PEAK AREA (NIVO),ICIEF MAIN PEAK
247,BIO_ICIEF,MAIN PEAK [ICIEF MAIN PEAK AREA {ALAG3},ICIEF MAIN PEAK
248,ICIEF,ICIEF MAIN PEAKS LAG3 CUMULATIVE AREA,ICIEF MAIN PEAK
249,ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) NIVOLUMAB,ICIEF MAIN PEAK
250,BIO_ICIEF,ICIEF (MAIN PEAK),ICIEF MAIN PEAK
251,ICIEF,ICIEF: MAIN PEAK,ICIEF MAIN PEAK
252,BIO_ICIEF,ICIEF MAIN PEAK AREA {NIVO},ICIEF MAIN PEAK
253,BIO_ICIEF,ICIEF MAIN PEAK AREA {ALAG3},ICIEF MAIN PEAK
254,ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS-986016,ICIEF MAIN PEAK
255,ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS-936558,ICIEF MAIN PEAK
256,BIO_ICIEF,ICIEF MAIN PEAKS AREA,ICIEF MAIN PEAK
257,BIO_ICIEF,ICIEF MAIN PEAK A%,ICIEF MAIN PEAK
258,ICIEF,ICIEF (RESULT) [ICIEF MAIN PEAKS CUMULATIVE AREA],ICIEF MAIN PEAK
259,ICIEF_2,ICIEF MAIN PEAK AREA %,ICIEF MAIN PEAK
260,BIO_ICIEF,ICIEF MAIN PEAK AREA ,ICIEF MAIN PEAK
261,ICIEF,IDENTITY (ICIEF)  (MAIN PEAK PI),ICIEF MAIN PEAK
262,BIO_ICIEF,ICIEF MAIN PEAK AREA [NIVO],ICIEF MAIN PEAK
263,ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA BMS 986016,ICIEF MAIN PEAK
264,BIO_ICIEF,ICIEF MAIN PEAKS,ICIEF MAIN PEAK
265,BIO_ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA %,ICIEF MAIN PEAK
266,BIO_ICIEF,ICIEF MAIN PEAK AREA{NIVO},ICIEF MAIN PEAK
267,BIO_ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA),ICIEF MAIN PEAK
268,ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) IPILIMUMAB,ICIEF MAIN PEAK
269,BIO_ICIEF,ICIEF MAIN PEAK AREA (NIVOLUMAB),ICIEF MAIN PEAK
