,Analysis,Attribute,parent_class,parent_class_prob
35,250580_TOTAL_PROT,SAMPLE 2 MASS,3,0.76274526
36,P_M13173,NIVOLUMAB PROT CONCENTRATION,6,0.9926306
37,Y_SM_250193_R,RM PROTEIN CONCENTRATION UV A280 1DECPT,6,0.99495935
38,Y_GM_95007196_R,PH 1DECPT,5,0.99801254
39,Y_SM_250192_R,SDS COO REDUCED MAJOR BAND,0,0.99953246
40,250658_CATION_EXCH,PEAK 5,1,0.99931896
41,250580_TOTAL_PROT,RM3 CONCENTRATION FINAL,6,0.9930264
42,250657_SIZE_HOMOG,RM MONOMER,2,0.9991487
43,249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS2,0,0.7970423
44,250683_CE_SDS_NON_RE,SS RM2 IGG,0,0.99943584
45,250658_CATION_EXCH,RM RT PEAK 1 PRECEEDING SAMPLE,1,0.9987109
46,Y_SM_250207_R,IL2 INHIBITION ASSAY BIOASSAY,4,0.99810565
47,Y_SM_250196_R,B7 BINDING  SPR,4,0.9981305
48,250658_CATION_EXCH,PEAK 1,1,0.99929476
49,D_M00000094,PURITY OF HC AND LC PEAKS,0,0.9883724
50,D_250599,PROT CONCENTRATION,6,0.99348986
51,D_M00000093,SUM OF UNDEFINED PEAKS,1,0.98515195
52,D_250657,HMW,2,0.98179287
53,D_250580,PROT CONCENTRATION,6,0.993294
54,D_250627,MAIN PEAK_1DP,1,0.9086764
55,Y_SM_250359_R,PROTEIN CONCENTRATION UV A280NM,6,0.99501014
56,D_250629,RELATIVE POTENCY,4,0.99731123
57,D_250628,RELATIVE BINDING,4,0.997898
58,D_250598,LMW,2,0.9963247
59,D_250601,TOTAL PARTICLES 25 MICRON,3,0.9908283
60,D_M00000093,HHL,5,0.25452414
61,D_M00000093,PURITY OF MAJOR PEAK,0,0.9941902
62,D_95007424,PCT LABEL CLAIM,4,0.91661364
63,95007423_SDS_PAGE,SDS COOM ST NONREDUCED IND UNEX NEW BAND,0,0.99947757
64,D_250692,RELATIVE BIOASSAY,4,0.99759465
65,D_250601,TOTAL PARTICLES 10 MICRON,3,0.9907562
66,D_250627,ACIDIC PEAKS_1DP,1,0.98545295
67,D_250598,HMW_1DP,2,0.97434074
68,D_250624,TOTAL PARTICLES,3,0.99024594
69,D_250624,SEMIQUANT EVALUATION,2,0.28879052
70,D_250739,RELATIVE POTENCY,4,0.99730265
71,D_95007424,PROT CONCENTRATION UV 280 NM_MG_VIAL,6,0.99439716
72,Y_SM_250191_R,SIZE HOMOGENEITY MONOMER 1DECPT,2,0.981048
73,US_790_VIS_PARTI,VIALS WITH VISIBLES PARTICULATES,0,0.92020863
74,D_M00000094,PURITY_0DP,0,0.9794688
75,D_95007421,LOW MOLECULAR WEIGHT SPECIES,2,0.9978148
76,249699_CAP_ELECT,MIG TIME BOTTLE,2,0.66348225
77,D_M00000093,PURITY_0DP,0,0.98019993
78,249699_CAP_ELECT,MIG TIME SSS2 ABATACEPT,6,0.38260874
79,D_M00003744,ABATACEPT MAJOR BAND (NON-RED),0,0.56639063
80,95007196_PH_BUFF,BUFFER PH,5,0.9979582
81,249699_CAP_ELECT,MIG TIME SSS1 ABATACEPT,6,0.5024331
82,PARTICLE_MATTER,TOTAL PARTICLE COUNT 25Âµ RESULT,3,0.99129874
83,250682_DRUG_CONT_ELO,SAMPLE 1 ABSORBANCE,6,0.44947222
84,250682_DRUG_CONT_ELO,DRUG CONTENT,6,0.4807434
85,PARTICLE_MATTER,NUMBER OF CONTAINERS,3,0.99077994
86,95007424_PROT_CONT,REPORTING RESULT,6,0.7460331
87,250682_DRUG_CONT_ELO,RM3 CONCENTRATION INITIAL,6,0.97493255
88,250682_DRUG_CONT_ELO,Vf,4,0.6043089
89,249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS1,0,0.76300395
90,PARTICLE_MATTER,TOTAL PARTICLE CONT 10Âµ RESULT,3,0.9911737
91,95007424_SYSTEM,EXP CONCENTRATION SECOND BRACKET AVG,6,0.9937913
92,250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION INITIAL,6,0.9769107
93,PARTICLE_MATTER,TOTAL VOL IN POOLED SAMPLE,3,0.9912407
94,250682_DRUG_CONT_ELO,DRUG CONTENT 1,4,0.49897796
95,250658_CATION_EXCH,RM TOTAL PEAK MINIMUM,1,0.9992393
96,D_250627,MAIN PEAK_0DP,1,0.86360633
97,250658_CATION_EXCH,SUM PEAK 3 PEAK 4 PEAK 5,1,0.9993142
98,250658_CATION_EXCH,PEAK 2,1,0.99930274
99,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 3,5,0.9979997
100,Y_SM_250580_INP1,RM PROTEIN CONC 280,6,0.9768456
101,249699_CAP_ELECT,MIG TIME SSS1 BELATACEPT,2,0.33398128
102,250658_CATION_EXCH,TOTAL PEAK AREA SAMPLE,1,0.9993315
103,250682_DRUG_CONT_ELO,RM1 CONCENTRATION FINAL,6,0.9830273
104,T_95007441,UNIÃ“N ESPECÃFICA (B7) ENSAYO,1,0.9094398
105,D_95007433,TOTAL PARTICLES PER CONTAINER 10 MICRON,3,0.99089324
106,Y_USPO12419_NR_CESDS,NonRed:  Sum of Undefined Peaks,1,0.9134346
107,Y_USPO8209_UV,Protein Concentration,6,0.9951297
108,R_ABA_VALOR,ConcentraciÃ³n de Proteina - Abatacept,6,0.6215951
109,D_95007424,PROT CONCENTRATION UV 280 NM,6,0.9945215
110,Y_USPO11283_SEC,HMW,2,0.99765307
111,R_ABA_SDSPAGESINRED,Banda Mayoritaria,1,0.4127463
112,R_PH,Valor de pH,5,0.99805164
113,R_ABA_SEC,Especies de bajo peso molecular,1,0.5711793
114,PARTICLE_MATTER,AVERAGE PARTICLE COUNT 25Âµ,3,0.99162734
115,Y_USPO12121_PTE,Potency ELISA,4,0.99825233
116,R_ABA_SDSPAGERED,Bandas Inesperadas (individual) <=1 %,0,0.9928053
117,250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION FINAL,6,0.9795141
118,Y_USPO12120_BDA,Activity Binding ELISA,4,0.9982663
119,R_ABA_SDSPAGERED,Banda Mayoritaria,1,0.44013533
120,P_M15720,CELL BASED POTENCY,4,0.99787843
121,Y_USPO11917_ICIEF,Main Peak,1,0.9996006
122,R_ABA_SEC,MonÃ³mero,2,0.41865763
123,P_M13461,NIVOLUMAB PROT CONCENTRATION,6,0.9929061
124,P_M15491,PARTICULATE MATTER(HIAC)>=3 MICROMETERS,3,0.99200726
125,P_M12568,METHOD VERSION,2,0.31437844
126,Y_SM_250473_R,GROUP 3 pI 5.55 to 6.05,3,0.3637191
127,P_M15491,PARTICULATE MATTER(HIAC)>=5 MICROMETERS,3,0.9919859
128,P_M15647,LOW MOLECULAR WEIGHT SPECIES,2,0.9980063
129,P_M15651,METHOD VERSION,2,0.32179832
130,Y_USPO11283_SEC,LMW,2,0.998252
131,P_M15651,NIVOLUMAB ACIDIC REGION,6,0.6881256
132,P_M15648,REL RETENTION TIME MINOR PEAK 14 => LOQ,2,0.68938386
133,Y_M00000176_NR_CESDS,NonRed: HHL,0,0.94811344
134,T_95007423,T_COOMASIE_NOREDUC_BANDA_PPAL_DE_ABAT,1,0.7614862
135,Y_M00000177_CESDS_R,Red: Purity heavy and light chain peaks,0,0.9922388
136,D_250684,CE SDS REDUCED,0,0.9995134
137,D_250658,PEAK 4,1,0.6122286
138,P_M15790,METHOD_VERSION,2,0.6973171
139,D_250191,LOW MOLECULAR WEIGHT SPECIES,2,0.9981337
140,D_250519,B7 BINDING,4,0.9979844
141,D_250682,DRUG_CONTENT_0DP_MG_VIAL,4,0.72697085
142,Y_USPO12419_R_CESDS,Red: Purity heavy and light chain peaks,0,0.99186325
143,D_250207,HUMAN CELL IL-2 INHIBITION ASSAY,4,0.9974396
144,D_250196,B7 BINDING,4,0.997995
145,D_250192,SDS COOM REDUCED ADD BAND GT 2PCT,0,0.99941874
146,D_250191,MONOMER,0,0.56321466
147,Y_USPO11917_ICIEF,Acidic Peaks,1,0.99960166
148,Y_USPO12419_NR_CESDS,NonRed: Purity major peak,0,0.98461825
149,D_250657,MONOMER,0,0.5017099
150,D_250602,PARTICLES >=25 UM,3,0.9906911
151,R_ABA_SEC,Especies de alto peso molecular,1,0.74630845
152,D_250195,TOTAL PARTICLES GTE 25 MICRON,3,0.9770075
153,D_250683,CE SDS NON REDUCED,0,0.99952114
154,D_250602,PARTICLES >= 10 UM,3,0.99062985
155,D_M00002527,SINGLE CHAIN NONREDUCED,0,0.515115
156,D_250192,SDS COOM REDUCED ADD BAND GT 1PCT,0,0.9994199
157,T_95007423,T_COOMASIE_REDUC_BANDA_PPAL_DE_ABAT,1,0.57210153
158,D_250193,PROT CONCENTRATION UV 280 NM_DP,6,0.9943796
159,Y_USPO156_PH,pH,5,0.99808383
160,249699_BELA,MIG TIME BOTTLE,7,0.3348143
161,P_M15648,NON_GLYCOSYLATED HEAVY CHAIN,4,0.4220646
162,Y_250692_BIA,Bioassay,4,0.9974957
163,Y_M00000176_NR_CESDS,NonRed: Purity major peak,0,0.9917749
164,P_M15647,MONOMER,0,0.5614963
165,D_95007421,MONOMER,4,0.43731764
166,P_M20645,METHOD VERSION,2,0.4733089
167,P_M15709,METHOD VERSION,2,0.3634895
168,R_OPDIVOINY_CONCPROT,Concentracion de proteinas,6,0.661246
169,R_OPDIVOINY_SEC,MonÃ²mero,2,0.5288907
170,R_OPDIVOINY_POTELISA,Potencia por ELISA,1,0.75236595
171,R_OPDIVOINY_PARTICUL,Particulas >= 25 um,7,0.45712137
172,P_M15491,PARTICULATE MATTER(HIAC)>=10 MICROMETERS,3,0.991991
173,P_M15788,pH,5,0.9980585
174,P_M15491,METHOD VERSION,2,0.25144187
175,P_M15651,NIVOLUMAB BASIC REGION,6,0.7859047
176,D_250495,ADDITIONAL BANDS > 0.5% NONREDUCED,0,0.93922454
177,D_250193,PCT TARGET FILL,4,0.85987514
178,D_250599,PROT CONCENTRATION_IP,6,0.9942721
179,P_M15491,PARTICULATE MATTER(HIAC)>=2 MICROMETERS,3,0.9920167
180,P_M16133,BINDING ELISA,4,0.99820733
181,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 1,5,0.9980089
182,D_250192,SDS COOM REDUCED MAJOR BAND,0,0.99949837
183,P_M16133,METHOD_VERSION,2,0.5919928
184,P_M14772,METHOD VERSION,2,0.30897006
185,P_M15651,ANTI LAG3 BASIC REGION,6,0.87967825
186,249699_CAP_ELECT,MIG TIME ABATACEPT RWS,2,0.6244682
187,P_M14710,PROTEIN CONCENTRATION,6,0.9950181
188,P_M20645,RESIDUAL PROTEIN A ELISA,4,0.985343
189,P_MTD-10467,PURITY,0,0.9165038
190,D_M00002527,PURITY REDUCED MAJOR BAND,0,0.9991099
191,P_7196,PH,5,0.9980622
192,Y_SM_250658_R,RM CEX PEAK 4,1,0.99946195
193,Y_SM_250657_R,RS HMW,2,0.9972601
194,Y_SM_250580_INP1,METHOD VERSION USED FOR TESTING,2,0.9683016
195,P_MTD-10530,POTENCY,4,0.9973022
196,P_MTD-10466,PURITY,0,0.9490451
197,P_MTD-10447,MAIN PEAK,1,0.993473
198,249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1SSS2 BELATACEPT,6,0.37777483
199,Y_GM_95009656_R,OSMOLALITY MOSMO_KG,3,0.40944222
200,Y_SM_250580_R,PROTEIN CONC 280,6,0.9892123
201,P_9345,IDENTITY PROTEIN CONCENTRATION,6,0.9948133
202,P_MTD-10493,MONOMER,2,0.98543394
203,Y_SM_250739_R,RELATIVE POTENCY,4,0.99699295
204,Y_SM_250685_R,RELATIVE POTENCY 0DECPT,4,0.99617743
205,Y_SM_250684_R,REDUCED LIGHT CHAIN 1DECPT,0,0.9245199
206,Y_JP_PH,JP PH,5,0.9980318
207,P_M15788,METHOD_VERSION,2,0.7499052
208,P_M15648,PURITY (LC+HC+NG-HC),0,0.99767584
209,Y_SM_250197_R,RM SIALIC ACID NANA 1DECPT,0,0.94978535
210,Y_SM_250193_R,PROTEIN CONCENTRATION UV A280 1DECPT,6,0.9950747
211,R_OPDIVOINY_PARTICUL,Particulas >= 10 um,7,0.47534445
212,D_250593,PEAK M6,1,0.931687
213,Y_SM_250683_R,LIGHT CHAIN 1DECPT,6,0.503003
214,Y_SM_250742_R,POLYSORBATE 80 2 DECPT,7,0.9709816
215,Y_SM_250735_R,PEAK M1,1,0.850709
216,Y_SM_250658_R,RM CEX SUM OF PEAKS 3 4 AND 5,1,0.99950063
217,Y_SM_250207_R,QC IL2 INHIBITION ASSAY BIOASSAY,4,0.99800295
218,95007424_SYSTEM,Vi,6,0.614585
219,Y_M00000176_NR_CESDS,NonRed: Sum of undefined peaks,1,0.7233626
220,Y_SM_250191_R,SIZE HOMOGENEITY HMW SPECIES 1DECPT,2,0.9966281
221,Y_SM_250658,RM CEX PEAK 5,1,0.9994543
222,Y_SM_250657,RS LMW,2,0.99762625
223,Y_SM_250192_R,SDS COO NONREDUCED SINGLE CHAIN,0,0.99949217
224,Y_SM_250657,MONOMER XDP,2,0.6719748
225,D_250195,TOTAL PARTICLES GTE 10 MICRON,3,0.97706556
226,D_250495,SINGLE CHAIN NONREDUCED,0,0.6981339
227,Y_SM_250658_R,RM CEX PEAK 5,1,0.99945396
228,Y_SM_250657,RS MONOMER,2,0.98201203
229,249699_CAP_ELECT,MIG TIME DIFFERENCE ABABEL IN SSS1,0,0.5962494
230,P_M20655,METHOD VERSION,2,0.38231155
231,95007424_SYSTEM,EXP CONCENTRATION STD 1 INITIAL BRACKET,6,0.9940029
232,95007424_SYSTEM,EXP CONCENTRATION STD 6 SECOND BRACKET,6,0.9939659
233,P_M20635,SUM OF MINOR PEAKS >= QL,1,0.94059855
234,Y_SM_250657,HMW XDP,2,0.99629104
235,Y_SM_250658,CEX PEAK 5,1,0.99948287
236,P_M20687,PH,5,0.9980683
237,T_250692,BIOENSAYO CELULAR,4,0.87203294
238,D_250191,HIGH MOLECULAR WEIGHT SPECIES,2,0.99776673
239,D_250192,SDS COOM NONREDUCED MAJOR BAND,0,0.9994925
240,Y_SM_95011468_R,QC IL2 INHIBITION ASSAY BIOASSAY,4,0.99802774
241,D_250548,IL2 INHIBITION ASSAY,4,0.99786013
242,Y_SM_250658_R,RM CEX PEAK 2 0 DECPT,1,0.99940825
243,T_250624_SEMIPART,DETERMINACIÃ“N SEMICUANT. PART. VISIBLES,0,0.32154807
244,D_250435,MAIN PEAK,1,0.997781
245,95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 2,5,0.99800545
246,D_321C,TOTAL PARTICLES 25 MICRON,3,0.9909055
247,D_250359,PROTEIN CONCENTRATION,6,0.9949764
248,D_95011468,BIOASSAY,4,0.9975776
249,T_250627,T_PICOS_ACIDOS,7,0.3972333
250,T_250599_ASSAY,CONCENTRACIÃ“N DE PROTEÃNA,4,0.9945609
251,D_95007433,PARTICULATE MATTER >=10 MICRON,3,0.9919525
252,D_250432,pH,5,0.99806374
253,T_95007196_PH,PH,5,0.99805605
254,D_250593,PEAK M5,1,0.9258766
255,D_250357,MONOMER,0,0.57942826
256,D_250398,BINDING ACTIVITY (ELISA),4,0.99825436
257,D_M00001099,NG-HEAVY CHAIN,0,0.6491134
258,Y_SM_250658,RM CEX SUM OF PEAKS 3 4 AND 5,1,0.99950945
259,D_M00001098,LIGHT CHAIN,6,0.47245783
260,T_250601_USP_PARTMAT,MAT PARTICULADO >= 10 MICRAS_AMPOLLETA,2,0.994494
261,T_250629,ELISA POTENCIA,4,0.9961804
262,D_250546,VISIBLE PARTICLES,3,0.98974824
263,D_M00001098,SUM OF ALL MINOR PEAKS,1,0.9934994
264,D_M00001098,HHL,6,0.25104204
265,D_250357,HIGH MOLECULAR WEIGHT,2,0.9978629
266,Y_SM_250657,RS HMW,2,0.9948757
267,Y_SM_250735_R,PEAK M2,1,0.68128335
268,249699_CAP_ELECT,MIG TIME DIFFERENCE SSS2RWS ABATACEPT,2,0.38642216
269,D_95011468,BIOASSAY SPEC_L,4,0.9973604
270,D_M00001099,LIGHT CHAIN,6,0.44936177
271,D_250435,BASIC REGION,6,0.42000178
272,D_250598,MONOMER,0,0.38456094
273,Y_SM_250191_R,SIZE HOMOGENEITY LMW SPECIES 1DECPT,2,0.9960226
274,95007424_SYSTEM,Vi ROUND VALUE TO NEAREST 5 MICRO L,3,0.56030685
275,Y_SM_250658_R,RM CEX PEAK 2,1,0.9994566
276,95007424_PROT_CONT,SC PROTEIN CONCENTRATION,6,0.99497825
277,P_M20657,BASIC GROUP,1,0.9039014
278,R_YERVOY_SDSPAGESRED,Banda principal de Ipilimumab,0,0.83413607
279,95007424_SYSTEM,% RSD SECOND BRACKET,2,0.97059613
280,R_YERVOY_CEX,Region acida liberacion,1,0.9993018
281,R_YERVOY_CONCPROTEIN,Concentracion de proteina,4,0.8134684
282,Y_SM_250683_R,MAIN PEAK 1DECPT,1,0.9851087
283,T_250598,T_%_MONOMERO,2,0.48120257
284,R_YERVOY_ELISA,Actividad de union (ELISA),4,0.9661341
285,M00004294_VIS_PARTI,LIGHT INTENSITY AFTER,3,0.65938157
286,D_250593,PI GROUP 3,1,0.39672586
287,P_M15648,METHOD VERSION,2,0.3391658
288,Y_SM_250580_INP1,PROTEIN CONC 280 - 1DP,6,0.9787729
289,R_EMPLICITI_CONTDROG,Contenido de droga,1,0.33629832
290,R_EMPLICITI_CESDSSRE,Pico principal,1,0.99521196
291,Y_SM_250658_R,RM CEX ACIDIC GROUP 0 DECPT,1,0.99944896
292,D_M00002800,PROTEIN CONCENTRATION,6,0.9949275
293,Y_SM_250580_R,RM PROTEIN CONC 280,6,0.98586154
294,D_250593,PEAK M4,1,0.9032937
295,T_250600_POLISORB,POLISORBATO 80,7,0.40569788
296,T_M00000094,T_PUREZA_REDUC_CADENA_PESADA_LIGERA,1,0.46522355
297,P_MTD-10493,LMW,2,0.9983492
298,R_EMPLICITI_PARTIC,Particulas >= 25 um,7,0.37837872
299,R_EMPLICITI_CEX,Pico 2,1,0.9987086
300,P_9345,PROTEIN CONCENTRATION,6,0.99504906
301,Y_SM_250658_R,RM CEX PEAK 1,1,0.99946195
302,R_YERVOY_SEC,Homogeneidad del monomero,2,0.67824584
303,R_YERVOY_SDSPAGEREDU,Pureza acumulada de Ipilimumab,0,0.5442745
304,D_250593,PI GROUP 2,1,0.39890915
305,D_M00001098,PERCENT PURITY,0,0.9972582
306,Y_SM_250191_R,RM SIZE HOMOGENEITY LMW SPECIES 1DECPT,2,0.99847335
307,D_250599,IDENTITY PROT CONCENTRATION,6,0.9939778
308,P_M14772,BIOASSAY - CELL BASED,4,0.9980344
309,Y_SM_250735_R,GROUP 3,1,0.33545497
310,250580_TOTAL_PROT,RM CONCENTRATION COA,6,0.9938306
311,P_M15651,ANTI LAG3 MAIN PEAK,1,0.9529256
312,Y_SM_250196_R,RM B7 BINDING  SPR,4,0.998128
313,Y_SM_250657,LMW XDP,2,0.9986015
314,250657_SIZE_HOMOG,RM PEAK HEIGHT MONOMER MINIMUM,2,0.99909663
315,250683_CE_SDS_NON_RE,SS RM5 IGG,0,0.99943167
316,250580_TOTAL_PROT,SAMPLE 3 CONCENTRATION,6,0.9864203
317,Y_SM_250658,CEX PEAK 3,1,0.9994771
318,Y_GM_95009656,GM VERSION USED FOR TESTING,0,0.3791951
319,Y_SM_250193A_R,PROTEIN CONCENTRATION UV A280NM 1DECPT,6,0.9950594
320,249699_CAP_ELECT,MIG TIME SSS2 BELATACEPT,2,0.53114307
321,249699_BELA,MIG TIME SSS1 BELATACEPT,6,0.5570288
322,Y_SM_250658_R,CEX PEAK 1 0 DECPT,1,0.9994497
323,249699_CAP_ELECT,MIG TIME DIFFERENCE SSS2RWS BELATACEPT,2,0.67037874
324,249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1SSS2 ABATACEPT,6,0.44448763
325,249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1RWS BELATACEPT,2,0.42227826
326,R_ABA_SEC,SEC-MonÃ³mero,2,0.87651426
327,D_250495,PURITY REDUCED MAJOR BAND,0,0.999067
328,D_250495,PURITY NONREDUCED MAJOR BAND,0,0.99838066
329,R_ORENCIAIV_VALORAC,ConcentraciÃ³n de Proteina - Abatacept,1,0.8628908
330,R_ABA_SDSPAGERED,SDSPAGE Red Bandas inesperadas(indiv),0,0.99853075
331,95007424_SYSTEM,DILUTION BUFFER  ABSORBANCE VALUE,6,0.76176083
332,D_M00001099,PERCENT PURITY,0,0.9973437
333,D_250193,PROT CONCENTRATION UV 280 NM_DS,6,0.9943791
334,D_250627,BASIC PEAKS_1DP,1,0.9947848
335,R_NULOJIX_CONCPROTEI,Concentracion de Proteina-Belatacept,6,0.5631567
336,D_250473,GROUP 2,1,0.63581085
337,D_250192,SDS COOM NONREDUCED ADD BAND GT 1PCT,0,0.9993463
338,D_M00001099,SUM OF MINOR PEAKS,1,0.99563617
339,D_321C,TOTAL PARTICLES 10 MICRON,3,0.99085367
340,P_M12568,pH,5,0.998059
341,D_250546,SEMIQUANT EVALUATION,2,0.3219155
342,Y_SM_250197_R,SIALIC ACID NANA 1DECPT,0,0.8801584
343,D_M00002527,PURITY NONREDUCED MAJOR BAND,0,0.99873525
344,D_M00002527,ADDITIONAL BANDS > 0.5% NONREDUCED,0,0.8797143
345,D_95007424,PROT CONCENTRATION UV 280 NM_0DP,6,0.99451363
346,D_250593,GROUP 2A,1,0.6064845
347,Y_SM_250735_R,PEAK M5,1,0.91462183
348,R_EMPLICITI_CESDSRED,Suma de picos HC y LC,1,0.7164906
349,Y_SM_250658_R,CEX PEAK 5,1,0.99948585
350,D_250435,ACIDIC REGION,6,0.5026587
351,D_250598,HIGH MOLECULAR WEIGHT SPECIES_0DP,2,0.9970409
352,R_EMPLICITI_CEX,Pico 1,1,0.9988404
353,D_250627,BASIC PEAKS_0DP,1,0.99484634
354,D_M00000094,MINOR_1DP,7,0.7861
355,D_250658,PEAK 2,1,0.49927762
356,D_250192,SDS COOM NONREDUCED ADD BAND GT 2PCT,0,0.9993436
357,249699_BELA,RESULT BOTTLE COMPARED WITH SSS2,0,0.8098802
358,D_M00004364,PURITY NONREDUCED MAJOR BAND,0,0.9982998
359,D_250658,PEAK 1,1,0.63636845
360,D_M00004364,PURITY REDUCED MAJOR BAND,0,0.9990521
361,249699,RESULT BOTTLE COMPARED WITH SSS2,0,0.89005095
362,D_250658,PEAK 5,1,0.47906142
363,D_250658,SUM OF PEAKS 3_4_5,1,0.9743012
364,D_250600,POLYSORBATE 80,7,0.9720926
365,P_M15491,PARTICULATE MATTER(HIAC)>=25 MICROMETERS,3,0.9920025
366,D_95007424,PCT TARGET FILL,4,0.8304991
367,R_EMPLICITI_CONCPROT,Concentracion de proteinas,6,0.56599635
368,R_EMPLICITIINY_SEC,MonÃ³mero,7,0.60617226
369,249699,MIG TIME DIFFERENCE SSS1SSS2 ABATACEPT,6,0.6204227
370,249491_BET,BACTERIAL ENDOTOXINS,4,0.96499157
371,P_M15790,TOTAL PROTEIN CONCENTRATION (A280),6,0.9951237
372,Y_SM_250684_R,RED HEAVY AND LIGHT CHAINS HC+LC 1DECPT,0,0.940791
373,249699_BELA,RESULT BOTTLE COMPARED WITH SSS1,0,0.7765676
374,249699,MIG TIME SSS1 BELATACEPT,6,0.64629173
375,249699,RESULT BOTTLE COMPARED WITH SSS1,0,0.7866691
376,249699,MIG TIME DIFFERENCE SSS1RWS ABATACEPT,6,0.5956656
377,249699,MIG TIME SSS1 ABATACEPT,6,0.69025093
378,250626_CE_SDS_REDUC,HC HEAVY CHAIN,0,0.9994655
379,250629_POT_ELISA_P1,SS 1 SPL 1 WIDTH REL CONF INT,4,0.9506646
380,249699,MIG TIME DIFFERENCE SSS1SSS2 BELATACEPT,6,0.6132158
381,249699,MIG TIME SSS2 BELATACEPT,6,0.5384167
382,249699,MIG TIME BOTTLE,2,0.3359804
383,249699,MIG TIME DIFFERENCE SSS1RWS BELATACEPT,6,0.5502766
384,R_ABA_SDSPAGESINRED,Bandas Inesperadas ( individual) <= 1%,0,0.9943877
385,Y_SM_250658_R,CEX PEAK 1,1,0.99949443
386,Y_SM_250657_R,RS LMW,2,0.9981363
387,249699,MIG TIME BELATACEPT RWS,2,0.47824192
388,95009822_HUMAN_CELL,HUMAN CELL IL 2 INH ASSAY RESULT 60 140,4,0.9889542
389,T_M00000093,T_PUREZA_NOREDUC_PICO_PRINCIPAL,1,0.6682099
390,Y_SM_250191_R,RM SIZE HOMOGENEITY HMW SPECIES 1DECPT,2,0.9984603
391,95007441_B7_BINDING,B7 BINDING BIACORE RESULT,4,0.9981415
392,95007425_ISOE_FOCUS,PI RANGE 4.3 TO 5.6,1,0.74959177
393,Y_SM_250193A_R,RM PROTEIN CONCENTRATION 1DECPT,6,0.99487585
394,95007424_SYSTEM,Cf,6,0.36854023
395,Y_SM_250192_R,RM SDS COO REDUCED ADDITIONAL BAND,0,0.99947065
396,250658_CATION_EXCH,PEAK 3,1,0.99929464
397,250684_CE_SDS_REDUC,SS RM4 PURITY HC AND LC PEAKS,0,0.9994479
