Analysis,Attribute,Standard names
CE_SDS,"CE-SDS (NON-REDUCED) SUM OF A(LGG), A(LC) AND A(HHL)",CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) HHL PEAK,CE-SDS (NON-REDUCED) HHL
CE_SDS_2,CE-SDS (NON-REDUCED) HHL >=LOD,CE-SDS (NON-REDUCED) HHL
CE_SDS_2,CE-SDS (NON-REDUCED) HHL>=LOD,CE-SDS (NON-REDUCED) HHL
CE_SDS_2,CE-SDS (NON-REDUCED) MINOR PEAK 2(HHL) >DL,CE-SDS (NON-REDUCED) HHL
CE_SDS_3,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
CE_SDS_2,CE-SDS (NON-REDUCED) MIGRATION TIME OF MINOR PEAK 2(HHL),CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) A(HHL,CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) HHL >=LOD,CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) HHL ,CE-SDS (NON-REDUCED) HHL
BIO_CE-SDS_NR,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) %PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 2.06",CE-SDS (NON-REDUCED) PURITY
CE_SDS_3,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 2.01",CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (NON-REDUCED)SUM OF UNDEFINED PEAKS  PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (NON-REDUCED): PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (NON-REDUCED) % PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) % PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) -(% PURITY),CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITYRRT2.02),CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITYRRT1.99),CE-SDS (NON-REDUCED) PURITY
CAPILLARY_ELECTROPHORESIS,CGE-SDS Non-Reduced Purity,CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) PURITY OF HEAVY AND LIGHT CHAIN PEAKS,CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 2.02",CE-SDS (NON-REDUCED) PURITY
CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 1.76",CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (NON-REDUCED) %PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY 7),CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY 6),CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY),CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE SDS (Non-Reduced) Monomer,CE-SDS (Non-Reduced) purity
CE_SDS,CE-SDS (NR) - Corrected Area% of IgG Purity,CE-SDS (Non-Reduced) purity
CE_SDS,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS,CE-SDS (NON-REDUCED)  PURITY OF MAJOR PEAK,CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (NON-REDUCED) SUM OF UNDEFINED PEAKS PURITY,CE-SDS (NON-REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED)% PURITY,CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) -(%PURITY),CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED): PURITY,CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) PURITY OF HEAVY AND LIGHT CHAIN PEAKS,CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) %  PURITY,CE-SDS (REDUCED) PURITY
CAPILLARY_ELECTROPHORESIS_2,CGE-SDS Reduced Purity,CE-SDS (REDUCED) PURITY
CE_SDS,"CE-SDS (REDUCED),UNKNOWN IMPURITY, RRT 0.06",CE-SDS (REDUCED) PURITY
CE_SDS,"CE-SDS (REDUCED),UNKNOWN IMPURITY, RRT 1.16",CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) PURITY (HC + LC),CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) PURITY ,CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) %PURITY,CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) % PURITY,CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) % PURITY,CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) % NGHC PURITY,CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) PURITY (LC+HC+NGHC),CE-SDS (REDUCED) PURITY
CE_SDS_2,CGE (Reduced) Total Purity,CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) PURITY (NON-GLYCOSYLATED HEAVY CHAIN),CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) PURITY (LIGHT CHAIN),CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) PURITY (HC+LC+NG-HC),CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) PURITY (HEAVY CHAIN),CE-SDS (REDUCED) PURITY
BIO_CE-SDS_R,CE-SDS (R) PURITY [CE-SDS (REDUCED) PURITY],CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) PURITY (HC+LC),CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY),CE-SDS (REDUCED) PURITY
CE_SDS,CE-SDS (REDUCED) PURITY OF HEAVY AND LIGHT CHAIN  PEAKS,CE-SDS (REDUCED) PURITY
CE_SDS_3,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
CE_SDS_2,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
BIO_CE-SDS_R,CE-SDS (REDUCED) PURITY,CE-SDS (REDUCED) PURITY
CE_HPLC,CEX Basic Peaks ,CEX BASIC PEAKS
CE_HPLC,CEX Acidic Peaks ,CEX ACIDIC PEAKS
CE_HPLC_2,CEX-HPLC ACIDIC PEAKS,CEX ACIDIC PEAKS
CE_HPLC_2,CEX ACIDIC PEAKS CUMULATIVE AREA,CEX ACIDIC PEAKS
CE_HPLC,CEX-HPLC ACIDIC PEAKS,CEX ACIDIC PEAKS
CE_HPLC,CEX ACIDIC PEAKS ,CEX ACIDIC PEAKS
CE_HPLC,CEX - % ACIDIC PEAKS,CEX ACIDIC PEAKS
CE_HPLC,CEX ACIDIC PEAKS CUMULATIVE AREA,CEX ACIDIC PEAKS
CE_HPLC,Cation Exchange Chromatography Acidic Peak,CEX ACIDIC PEAKS
Y_SM_250658_R,CEX ACIDIC GROUP 0 DECPT,CEX ACIDIC PEAKS
Y_SM_250658_R,RM CEX ACIDIC GROUP,CEX ACIDIC PEAKS
CE_HPLC,CEX BASIC PEAKS CUMULATIVE AREA,CEX BASIC PEAKS
CE_HPLC,CEX-HPLC BASIC PEAKS,CEX BASIC PEAKS
CE_HPLC,CEX Basic Group,CEX BASIC PEAKS
CE_HPLC,CEX Main Peaks ,CEX MAIN PEAK
CE_HPLC,CEX Acidic Group,CEX ACIDIC PEAKS
CE_HPLC_2,CEX-HPLC BASIC PEAKS,CEX BASIC PEAKS
CE_HPLC_2,CEX BASIC PEAKS CUMULATIVE AREA,CEX BASIC PEAKS
CE_HPLC,CEX BASIC PEAKS ,CEX BASIC PEAKS
CE_HPLC,CEX - % BASIC PEAKS,CEX BASIC PEAKS
CE_HPLC,CEX MAIN PEAKS ,CEX MAIN PEAK
CE_HPLC,CEX - % MAIN PEAK,CEX MAIN PEAK
CE_HPLC,CEX HPLC MAIN PEAK,CEX MAIN PEAK
CE_HPLC,CEX MAIN PEAKS  AREA,CEX MAIN PEAK
CE_HPLC,CEX-HPLC (MAIN PEAK),CEX MAIN PEAK
CE_HPLC_2,CEX MAIN PEAK ,CEX MAIN PEAK
CE_HPLC,CEX-HPLC MAIN PEAK,CEX MAIN PEAK
CE_HPLC,CEX MAIN PEAKS,CEX MAIN PEAK
CE_HPLC,CEX-HPLC MAIN PEAK AREA,CEX MAIN PEAK
CE_HPLC,CEX-% MAIN PEAK,CEX MAIN PEAK
HPLC_4,CEX HPLC MAIN PEAK,CEX MAIN PEAK
CE_HPLC,CEX MAIN PEAK AREA,CEX MAIN PEAK
CE_HPLC,CEX MAIN PEAKS CUMULATIVE AREA,CEX MAIN PEAK
CE_HPLC_2,CEX-HPLC MAIN PEAK,CEX MAIN PEAK
CE_HPLC,CEX MAIN PEAK,CEX MAIN PEAK
CE_HPLC_2,CEX MAIN PEAK CUMULATIVE AREA,CEX MAIN PEAK
CE_HPLC,CEX Acidic Group Cumulative Area,CEX ACIDIC PEAKS
CE_HPLC,CEX-% Basic Variants,CEX BASIC PEAKS
CE_HPLC_2,CEX MAIN PEAK,CEX MAIN PEAK
BIO_ICIEF,ICIEF NIVO ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA {NIVO},ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
ISOELECTRIC_FOCUSING,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
ICIEF,ICIEF (CHARGE HETEROGENEITY) ACIDIC PEAKS (CUMULATIVE AREA),ICIEF ACIDIC PEAKS
BIO_ICIEF,ACIDIC GROUP [ICIEF ALAG3 ACIDIC PEAKS CUMULATIVE AREA],ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) ,ICIEF ACIDIC PEAKS
ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA)  NIVOLUMAB,ICIEF ACIDIC PEAKS
ICIEF_2,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
A_250627,ICIEF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS LAG3 CUMULATIVE AREA,ICIEF ACIDIC PEAKS
ICIEF,ICIEF_2 (RESULT) [ ICIEF ACIDIC PEAKS CUMULATIVE AREA],ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS NIVO CUMULATIVE AREA,ICIEF ACIDIC PEAKS
BIO_ICIEF,ACIDIC GROUP [ICIEF ACIDIC PEAKS CUMULATIVE AREA ALAG3],ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS (CUMULATIVE AREA),ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA BMS -936558,ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA  BMS -986016,ICIEF ACIDIC PEAKS
ICIEF,ICIEF_2 (RESULT) [ICIEF ACIDIC PEAKS CUMULATIVE AREA],ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS ,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA [NIVO],ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA NIVOLUMAB,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA{ALAG3},ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEFACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) NIVOLUMAB,ICIEF ACIDIC PEAKS
ICIEF,ICIEF SUM OF ACIDIC PEAKS (A% OF ACIDIC GROUP),ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ANTI LAG 3 ACIDIC PEAKS CUMULATIVE AREA,ICIEF ACIDIC PEAKS
ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) IPILIMUMAB,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF SUM OF ACIDIC PEAKS ,ICIEF ACIDIC PEAKS
ICIEF,ICIEF SUM OF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
ICIEF_2,ICIEF SUM OF ACIDIC PEAKS (A% OF ACIDIC GROUP),ICIEF ACIDIC PEAKS
ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA),ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA{NIVO},ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA BMS 936558,ICIEF ACIDIC PEAKS
ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF SUM OF ACIDIC PEAKS (A% OF ACIDIC GROUP),ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF ACIDIC PEAKS CUMULATIVE AREA {ALAG3},ICIEF ACIDIC PEAKS
ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) IPI,ICIEF ACIDIC PEAKS
BIO_ICIEF,ICIEF SUM OF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
ICIEF,cIEF Basic peaks,ICIEF BASIC PEAKS
ICIEF,cIEF Acidic peaks,ICIEF ACIDIC PEAKS
ICIEF,cIEF Main peak,ICIEF MAIN PEAK
ICIEF,ICIEF (ACIDIC PEAKS CUMULATIVE AREA) NIVO,ICIEF ACIDIC PEAKS
ICIEF,ICIEF SUM OF BASIC PEAKS,ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA{ALAG3},ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) IPILIMUMAB,ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF ANTI LAG 3 BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS ,ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA{NIVO},ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS NIVO CUMULATIVE AREA,ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA),ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF SUM OF BASIC PEAKS ,ICIEF BASIC PEAKS
ICIEF,ICIEF SUM OF BASIC PEAKS (A% OF BASIC GROUP),ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA [NIVO],ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF NIVO BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
BIO_ICIEF,BASIC GROUP [ICIEF BASIC PEAKS CUMULATIVE AREA ALAG3],ICIEF BASIC PEAKS
BIO_ICIEF,BASIC GROUP [ICIEF ALAG3 BASIC PEAKS CUMULATIVE AREA],ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA {ALAG3},ICIEF BASIC PEAKS
ISOELECTRIC_FOCUSING,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS LAG3 CUMULATIVE AREA,ICIEF BASIC PEAKS
ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) IPI,ICIEF BASIC PEAKS
ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) NIVOLUMAB,ICIEF BASIC PEAKS
ICIEF,ICIEF_3 (RESULT) [ICIEF BASIC PEAKS CUMULATIVE AREA],ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF SUM OF BASIC PEAKS,ICIEF BASIC PEAKS
ICIEF_2,ICIEF BASIC PEAKS CUMULATIVE AREA,ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF BASIC PEAKS
ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA),ICIEF BASIC PEAKS
ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA) NIVO,ICIEF BASIC PEAKS
ICIEF_2,ICIEF SUM OF BASIC PEAKS (A% OF BASIC GROUP),ICIEF BASIC PEAKS
ICIEF,ICIEF (CHARGE HETEROGENEITY) BASIC PEAKS (CUMULATIVE AREA),ICIEF BASIC PEAKS
ICIEF,ICIEF (BASIC PEAKS CUMULATIVE AREA)  NIVOLUMAB,ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA {NIVO},ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA BMS-986016,ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS CUMULATIVE AREA BMS 936558,ICIEF BASIC PEAKS
ICIEF,ICIEF BASIC PEAKS (CUMULATIVE AREA),ICIEF BASIC PEAKS
BIO_ICIEF,ICIEF SUM OF BASIC PEAKS (A% OF BASIC GROUP),ICIEF BASIC PEAKS
ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA,ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAK PI),ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK - NIVOLUMAB,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK - ALAG3,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK,ICIEF MAIN PEAK
ISOELECTRIC_FOCUSING,ICIEF MAIN PEAKS CUMULATIVE AREA,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA RELATLIMAB,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF (MAIN PEAK AREA),ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAK) NIVOLUMAB,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAK) IPILIMUMAB,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK PI,ICIEF MAIN PEAK
ICIEF,MAIN PEAK ICIEF,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF ANTI LAG 3 MAIN PEAK AREA,ICIEF MAIN PEAK
A_250627,ICIEF MAIN PEAK,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK RELATLIMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK NIVOLUMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA NIVOLUMAB,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK A%,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF NIVO MAIN PEAK AREA,ICIEF MAIN PEAK
ICIEF,ICIEF (RESULT)ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK PL,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK AREA NIVOLUMAB,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK AREA RELATLIMAB,ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAK PL),ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAK AREA),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF (MAIN PEAK GROUP CUMULATIVE AREA),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA (ANTI-LAG3),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA (NIVO),ICIEF MAIN PEAK
BIO_ICIEF,MAIN PEAK [ICIEF MAIN PEAK AREA {ALAG3},ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS LAG3 CUMULATIVE AREA,ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) NIVOLUMAB,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF (MAIN PEAK),ICIEF MAIN PEAK
ICIEF,ICIEF: MAIN PEAK,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA {NIVO},ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA {ALAG3},ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS-986016,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS-936558,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAKS AREA,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK A%,ICIEF MAIN PEAK
ICIEF,ICIEF (RESULT) [ICIEF MAIN PEAKS CUMULATIVE AREA],ICIEF MAIN PEAK
ICIEF_2,ICIEF MAIN PEAK AREA %,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA ,ICIEF MAIN PEAK
ICIEF,IDENTITY (ICIEF)  (MAIN PEAK PI),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA [NIVO],ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA BMS 986016,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAKS,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK CUMULATIVE AREA %,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA{NIVO},ICIEF MAIN PEAK
BIO_ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA),ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) IPILIMUMAB,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA (NIVOLUMAB),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK RELATLIMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
ICIEF,ICIEF (CHARGE HETEROGENEITY) MAIN PEAK,ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK AREA (RELATLIMAB),ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK ,ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) IPI,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS NIVO CUMULATIVE AREA,ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAK CUMULATIVE AREA),ICIEF MAIN PEAK
ICIEF,ICIEF (MAIN PEAKS CUMULATIVE AREA) NIVO,ICIEF MAIN PEAK
ICIEF_2,ICIEF MAIN PEAK AREA,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS 986016,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAKS CUMULATIVE AREA BMS 936558,ICIEF MAIN PEAK
ICIEF,ICIEF MAIN PEAK PI,ICIEF MAIN PEAK
BIO_ICIEF,MAIN PEAK [ICIEF ALAG3 MAIN PEAK AREA],ICIEF MAIN PEAK
BIO_ICIEF,ICIEF MAIN PEAK NIVOLUMAB (% OF CUMULATIVE AREA),ICIEF MAIN PEAK
ICIEF_2,ICIEF MAIN PEAK CUMULATIVE AREA,ICIEF MAIN PEAK
BIO_ICIEF,CIEF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
ICIEF,CIEF ACIDIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF ACIDIC PEAKS
ICIEF,CIEF ACIDIC PEAKS,ICIEF ACIDIC PEAKS
ISOELECTRIC_FOCUSING,IEF ACIDIC PEAKS (PRE PEAKS),IEF ACIDIC PEAKS
ICIEF,CIEF BASIC PEAKS CUMULATIVE AREA BMS 986016,ICIEF BASIC PEAKS
