Analysis,Attribute,parent_class,parent_class_prob,child_class,child_class_prob,predicted_class
D_95007421,HIGH MOLECULAR WEIGHT SPECIES,2,0.9966097,3,0.8873142,se-hplc lmw
250580_TOTAL_PROT,SAMPLE 2 MASS,6,0.89613855,1,1.0,protein concentration (a280)
P_M13173,NIVOLUMAB PROT CONCENTRATION,6,0.996289,1,1.0,protein concentration (a280)
Y_SM_250193_R,RM PROTEIN CONCENTRATION UV A280 1DECPT,6,0.9976381,1,1.0,protein concentration (a280)
Y_GM_95007196_R,PH 1DECPT,5,0.99761367,1,1.0,ph
Y_SM_250192_R,SDS COO REDUCED MAJOR BAND,0,0.99956983,3,0.99400675,ce-sds (reduced) purity
250658_CATION_EXCH,PEAK 5,1,0.9989687,9,0.59537256,cex main peak
250580_TOTAL_PROT,RM3 CONCENTRATION FINAL,6,0.9973869,1,1.0,protein concentration (a280)
250657_SIZE_HOMOG,RM MONOMER,2,0.9993556,4,0.6401503,se-hplc monomer
249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS2,4,0.9666536,1,0.92740715,potency by cell-based bioassay
250683_CE_SDS_NON_RE,SS RM2 IGG,0,0.9995048,2,0.9202377,ce-sds (non-reduced) purity
250658_CATION_EXCH,RM RT PEAK 1 PRECEEDING SAMPLE,1,0.9949995,9,0.9926306,cex main peak
Y_SM_250207_R,IL2 INHIBITION ASSAY BIOASSAY,4,0.99926585,3,0.9595696,spr binding activity
Y_SM_250196_R,B7 BINDING  SPR,4,0.9992618,3,1.0,spr binding activity
250658_CATION_EXCH,PEAK 1,1,0.99888724,9,0.59537256,cex main peak
D_M00000094,PURITY OF HC AND LC PEAKS,0,0.9756414,3,0.98287106,ce-sds (reduced) purity
D_250599,PROT CONCENTRATION,6,0.99719656,1,1.0,protein concentration (a280)
D_M00000093,SUM OF UNDEFINED PEAKS,1,0.9956203,4,0.88012195,icief acidic peaks
D_250657,HMW,2,0.999131,2,0.9566358,se-hplc hmw
D_250580,PROT CONCENTRATION,6,0.9973236,1,1.0,protein concentration (a280)
D_250627,MAIN PEAK_1DP,1,0.97494453,9,0.93156195,cex main peak
Y_SM_250359_R,PROTEIN CONCENTRATION UV A280NM,6,0.9978231,1,1.0,protein concentration (a280)
D_250629,RELATIVE POTENCY,4,0.9987633,1,0.96472454,potency by cell-based bioassay
D_250628,RELATIVE BINDING,4,0.9991823,2,0.947284,potency by binding elisa
D_250598,LMW,2,0.9987587,3,0.9565651,se-hplc lmw
D_250601,TOTAL PARTICLES 25 MICRON,3,0.99822074,2,0.99933916,particulate-matter >= 25-um
D_M00000093,HHL,0,0.98672694,1,0.99990594,ce-sds (non-reduced) hhl
D_M00000093,PURITY OF MAJOR PEAK,0,0.9727217,2,0.7479819,ce-sds (non-reduced) purity
D_95007424,PCT LABEL CLAIM,4,0.9882129,1,0.9998833,potency by cell-based bioassay
95007423_SDS_PAGE,SDS COOM ST NONREDUCED IND UNEX NEW BAND,0,0.9995683,1,0.99199283,ce-sds (non-reduced) hhl
D_250692,RELATIVE BIOASSAY,4,0.9992716,1,0.99995446,potency by cell-based bioassay
D_250601,TOTAL PARTICLES 10 MICRON,3,0.9982346,2,0.99933916,particulate-matter >= 25-um
D_250627,ACIDIC PEAKS_1DP,1,0.9986577,7,0.83343637,cex acidic peaks
D_250598,HMW_1DP,2,0.998771,2,0.980817,se-hplc hmw
D_250624,TOTAL PARTICLES,3,0.9977284,2,0.99950016,particulate-matter >= 25-um
D_250624,SEMIQUANT EVALUATION,4,0.63348407,1,0.9994356,potency by cell-based bioassay
D_250739,RELATIVE POTENCY,4,0.99867886,1,0.96472454,potency by cell-based bioassay
D_95007424,PROT CONCENTRATION UV 280 NM_MG_VIAL,6,0.9975963,1,1.0,protein concentration (a280)
Y_SM_250191_R,SIZE HOMOGENEITY MONOMER 1DECPT,2,0.9986223,4,0.91204375,se-hplc monomer
US_790_VIS_PARTI,VIALS WITH VISIBLES PARTICULATES,3,0.9971962,2,0.9996221,particulate-matter >= 25-um
D_M00000094,PURITY_0DP,0,0.98561364,3,0.9133625,ce-sds (reduced) purity
D_95007421,LOW MOLECULAR WEIGHT SPECIES,2,0.9961505,3,0.9464737,se-hplc lmw
249699_CAP_ELECT,MIG TIME BOTTLE,6,0.58586144,1,1.0,protein concentration (a280)
D_M00000093,PURITY_0DP,0,0.98789513,3,0.8974893,ce-sds (reduced) purity
249699_CAP_ELECT,MIG TIME SSS2 ABATACEPT,4,0.7015029,2,0.90454984,potency by binding elisa
D_M00003744,ABATACEPT MAJOR BAND (NON-RED),0,0.62971,1,0.99336857,ce-sds (non-reduced) hhl
95007196_PH_BUFF,BUFFER PH,5,0.9974611,1,1.0,ph
249699_CAP_ELECT,MIG TIME SSS1 ABATACEPT,4,0.82470286,2,0.98734283,potency by binding elisa
PARTICLE_MATTER,TOTAL PARTICLE COUNT 25Âµ RESULT,3,0.998103,2,0.999243,particulate-matter >= 25-um
250682_DRUG_CONT_ELO,SAMPLE 1 ABSORBANCE,6,0.9794118,1,1.0,protein concentration (a280)
250682_DRUG_CONT_ELO,DRUG CONTENT,2,0.5940435,1,0.70311946,rp-hplc purity
PARTICLE_MATTER,NUMBER OF CONTAINERS,3,0.9979188,2,0.99998915,particulate-matter >= 25-um
95007424_PROT_CONT,REPORTING RESULT,6,0.64410055,1,1.0,protein concentration (a280)
250682_DRUG_CONT_ELO,RM3 CONCENTRATION INITIAL,6,0.99494594,1,1.0,protein concentration (a280)
250682_DRUG_CONT_ELO,Vf,2,0.6317394,3,0.7542974,se-hplc lmw
249699_CAP_ELECT,RESULT BOTTLE COMPARED WITH SSS1,4,0.9751819,1,0.5883792,potency by cell-based bioassay
PARTICLE_MATTER,TOTAL PARTICLE CONT 10Âµ RESULT,3,0.99801695,2,0.9978452,particulate-matter >= 25-um
95007424_SYSTEM,EXP CONCENTRATION SECOND BRACKET AVG,6,0.9965456,1,1.0,protein concentration (a280)
250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION INITIAL,6,0.98553,1,1.0,protein concentration (a280)
PARTICLE_MATTER,TOTAL VOL IN POOLED SAMPLE,3,0.9967912,2,0.9999924,particulate-matter >= 25-um
250682_DRUG_CONT_ELO,DRUG CONTENT 1,2,0.58495426,1,0.70311946,rp-hplc purity
250658_CATION_EXCH,RM TOTAL PEAK MINIMUM,1,0.9993863,9,0.9777819,cex main peak
D_250627,MAIN PEAK_0DP,1,0.99200225,9,0.9796531,cex main peak
250658_CATION_EXCH,SUM PEAK 3 PEAK 4 PEAK 5,1,0.9990797,12,0.9907823,aex main peak
250658_CATION_EXCH,PEAK 2,1,0.998429,9,0.59537256,cex main peak
95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 3,5,0.99749017,1,1.0,ph
Y_SM_250580_INP1,RM PROTEIN CONC 280,6,0.9954672,1,1.0,protein concentration (a280)
249699_CAP_ELECT,MIG TIME SSS1 BELATACEPT,4,0.92052865,2,0.9877841,potency by binding elisa
250658_CATION_EXCH,TOTAL PEAK AREA SAMPLE,1,0.99951637,9,0.9681769,cex main peak
250682_DRUG_CONT_ELO,RM1 CONCENTRATION FINAL,6,0.9947866,1,1.0,protein concentration (a280)
T_95007441,UNIÃ“N ESPECÃFICA (B7) ENSAYO,4,0.94660807,3,0.99999905,spr binding activity
D_95007433,TOTAL PARTICLES PER CONTAINER 10 MICRON,3,0.9982526,2,0.96161574,particulate-matter >= 25-um
Y_USPO12419_NR_CESDS,NonRed:  Sum of Undefined Peaks,0,0.91029483,2,0.99705243,ce-sds (non-reduced) purity
Y_USPO8209_UV,Protein Concentration,6,0.99781066,1,1.0,protein concentration (a280)
R_ABA_VALOR,ConcentraciÃ³n de Proteina - Abatacept,2,0.59979707,1,0.9582795,rp-hplc purity
D_95007424,PROT CONCENTRATION UV 280 NM,6,0.9975235,1,1.0,protein concentration (a280)
Y_USPO11283_SEC,HMW,2,0.99928087,2,0.9867806,se-hplc hmw
R_ABA_SDSPAGESINRED,Banda Mayoritaria,0,0.9989722,3,0.86416644,ce-sds (reduced) purity
R_PH,Valor de pH,5,0.997677,1,1.0,ph
R_ABA_SEC,Especies de bajo peso molecular,2,0.96099216,1,0.93355775,rp-hplc purity
PARTICLE_MATTER,AVERAGE PARTICLE COUNT 25Âµ,3,0.99819785,2,0.9981408,particulate-matter >= 25-um
Y_USPO12121_PTE,Potency ELISA,4,0.999255,2,0.99999404,potency by binding elisa
R_ABA_SDSPAGERED,Bandas Inesperadas (individual) <=1 %,0,0.99419034,3,0.8146844,ce-sds (reduced) purity
250682_DRUG_CONT_ELO,RM AVERAGE CONCENTRATION FINAL,6,0.9871667,1,1.0,protein concentration (a280)
Y_USPO12120_BDA,Activity Binding ELISA,4,0.9992805,2,0.9999987,potency by binding elisa
R_ABA_SDSPAGERED,Banda Mayoritaria,0,0.99584633,3,0.84440976,ce-sds (reduced) purity
P_M15720,CELL BASED POTENCY,4,0.99916697,1,1.0,potency by cell-based bioassay
Y_USPO11917_ICIEF,Main Peak,1,0.9996793,6,0.9990802,icief main peak
R_ABA_SEC,MonÃ³mero,2,0.65661734,1,0.94660765,rp-hplc purity
P_M13461,NIVOLUMAB PROT CONCENTRATION,6,0.9966273,1,1.0,protein concentration (a280)
P_M15491,PARTICULATE MATTER(HIAC)>=3 MICROMETERS,3,0.9983473,2,0.8033993,particulate-matter >= 25-um
P_M12568,METHOD VERSION,4,0.99380445,1,0.9998287,potency by cell-based bioassay
Y_SM_250473_R,GROUP 3 pI 5.55 to 6.05,6,0.67989635,1,1.0,protein concentration (a280)
P_M15491,PARTICULATE MATTER(HIAC)>=5 MICROMETERS,3,0.99833965,2,0.8033993,particulate-matter >= 25-um
P_M15647,LOW MOLECULAR WEIGHT SPECIES,2,0.99780947,3,0.6062288,se-hplc lmw
P_M15651,METHOD VERSION,4,0.9959246,1,0.99989057,potency by cell-based bioassay
Y_USPO11283_SEC,LMW,2,0.9989248,3,0.9965299,se-hplc lmw
P_M15651,NIVOLUMAB ACIDIC REGION,1,0.7461746,4,0.99830866,icief acidic peaks
P_M15648,REL RETENTION TIME MINOR PEAK 14 => LOQ,4,0.39022654,1,0.9999728,potency by cell-based bioassay
Y_M00000176_NR_CESDS,NonRed: HHL,0,0.9901841,1,0.9913707,ce-sds (non-reduced) hhl
T_95007423,T_COOMASIE_NOREDUC_BANDA_PPAL_DE_ABAT,6,0.7843964,1,1.0,protein concentration (a280)
Y_M00000177_CESDS_R,Red: Purity heavy and light chain peaks,0,0.97952914,3,0.99965835,ce-sds (reduced) purity
D_250684,CE SDS REDUCED,0,0.9995859,3,0.8272948,ce-sds (reduced) purity
D_250658,PEAK 4,1,0.84808475,9,0.49428025,cex main peak
P_M15790,METHOD_VERSION,4,0.99152815,1,0.9999006,potency by cell-based bioassay
D_250191,LOW MOLECULAR WEIGHT SPECIES,2,0.9976555,3,0.9464737,se-hplc lmw
D_250519,B7 BINDING,4,0.9992163,3,0.99998164,spr binding activity
D_250682,DRUG_CONTENT_0DP_MG_VIAL,6,0.76127756,1,1.0,protein concentration (a280)
Y_USPO12419_R_CESDS,Red: Purity heavy and light chain peaks,0,0.9837352,3,0.99985063,ce-sds (reduced) purity
D_250207,HUMAN CELL IL-2 INHIBITION ASSAY,4,0.99927443,1,1.0,potency by cell-based bioassay
D_250196,B7 BINDING,4,0.99922454,3,0.99998164,spr binding activity
D_250192,SDS COOM REDUCED ADD BAND GT 2PCT,0,0.9995377,3,0.9839802,ce-sds (reduced) purity
D_250191,MONOMER,2,0.9991455,4,0.7268956,se-hplc monomer
Y_USPO11917_ICIEF,Acidic Peaks,1,0.9996995,4,0.99528617,icief acidic peaks
Y_USPO12419_NR_CESDS,NonRed: Purity major peak,0,0.94161373,2,0.997033,ce-sds (non-reduced) purity
D_250657,MONOMER,2,0.9992811,4,0.7268956,se-hplc monomer
D_250602,PARTICLES >=25 UM,3,0.9981269,2,0.99940777,particulate-matter >= 25-um
R_ABA_SEC,Especies de alto peso molecular,2,0.9858701,1,0.88301283,rp-hplc purity
D_250195,TOTAL PARTICLES GTE 25 MICRON,3,0.9982109,2,0.98598236,particulate-matter >= 25-um
D_250683,CE SDS NON REDUCED,0,0.9995977,1,0.9815825,ce-sds (non-reduced) hhl
D_250602,PARTICLES >= 10 UM,3,0.99812907,2,0.99940777,particulate-matter >= 25-um
D_M00002527,SINGLE CHAIN NONREDUCED,0,0.62731045,3,0.96498066,ce-sds (reduced) purity
D_250192,SDS COOM REDUCED ADD BAND GT 1PCT,0,0.9995407,3,0.97518015,ce-sds (reduced) purity
T_95007423,T_COOMASIE_REDUC_BANDA_PPAL_DE_ABAT,6,0.70257634,1,1.0,protein concentration (a280)
D_250193,PROT CONCENTRATION UV 280 NM_DP,6,0.99750584,1,1.0,protein concentration (a280)
Y_USPO156_PH,pH,5,0.99770576,1,1.0,ph
249699_BELA,MIG TIME BOTTLE,6,0.37351948,1,1.0,protein concentration (a280)
P_M15648,NON_GLYCOSYLATED HEAVY CHAIN,0,0.82304907,1,0.9912328,ce-sds (non-reduced) hhl
Y_250692_BIA,Bioassay,4,0.99922466,2,0.62267584,potency by binding elisa
Y_M00000176_NR_CESDS,NonRed: Purity major peak,0,0.9596156,2,0.99623483,ce-sds (non-reduced) purity
P_M15647,MONOMER,2,0.9991265,1,0.6493059,rp-hplc purity
D_95007421,MONOMER,2,0.9986532,4,0.7268956,se-hplc monomer
P_M20645,METHOD VERSION,4,0.99193996,1,0.99977213,potency by cell-based bioassay
P_M15709,METHOD VERSION,4,0.9955363,1,0.9999336,potency by cell-based bioassay
R_OPDIVOINY_CONCPROT,Concentracion de proteinas,2,0.6791813,7,0.9026005,se-uplc monomer
R_OPDIVOINY_SEC,MonÃ²mero,2,0.95289457,1,0.48023596,rp-hplc purity
R_OPDIVOINY_POTELISA,Potencia por ELISA,4,0.99090487,2,0.96989965,potency by binding elisa
R_OPDIVOINY_PARTICUL,Particulas >= 25 um,3,0.991046,2,0.99765587,particulate-matter >= 25-um
P_M15491,PARTICULATE MATTER(HIAC)>=10 MICROMETERS,3,0.99834013,2,0.8033993,particulate-matter >= 25-um
P_M15788,pH,5,0.9975854,1,1.0,ph
P_M15491,METHOD VERSION,4,0.9971903,1,0.99986386,potency by cell-based bioassay
P_M15651,NIVOLUMAB BASIC REGION,1,0.7952992,5,0.9625221,icief basic peaks
D_250495,ADDITIONAL BANDS > 0.5% NONREDUCED,0,0.9350781,1,0.5958087,ce-sds (non-reduced) hhl
D_250193,PCT TARGET FILL,4,0.6709424,1,0.99837327,potency by cell-based bioassay
D_250599,PROT CONCENTRATION_IP,6,0.99734324,1,1.0,protein concentration (a280)
P_M15491,PARTICULATE MATTER(HIAC)>=2 MICROMETERS,3,0.99833894,2,0.8033993,particulate-matter >= 25-um
P_M16133,BINDING ELISA,4,0.99926645,2,0.9517786,potency by binding elisa
95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 1,5,0.99753004,1,1.0,ph
D_250192,SDS COOM REDUCED MAJOR BAND,0,0.9995772,1,0.6360538,ce-sds (non-reduced) hhl
P_M16133,METHOD_VERSION,4,0.9961746,1,0.9997831,potency by cell-based bioassay
P_M14772,METHOD VERSION,4,0.99591064,1,0.9999057,potency by cell-based bioassay
P_M15651,ANTI LAG3 BASIC REGION,4,0.5261417,1,0.9664184,potency by cell-based bioassay
249699_CAP_ELECT,MIG TIME ABATACEPT RWS,4,0.5163766,3,0.8236384,spr binding activity
P_M14710,PROTEIN CONCENTRATION,6,0.99782616,1,1.0,protein concentration (a280)
P_M20645,RESIDUAL PROTEIN A ELISA,4,0.9977155,1,0.73722327,potency by cell-based bioassay
P_MTD-10467,PURITY,0,0.99379706,3,0.8471397,ce-sds (reduced) purity
D_M00002527,PURITY REDUCED MAJOR BAND,0,0.99934727,3,0.9484674,ce-sds (reduced) purity
P_7196,PH,5,0.9976057,1,1.0,ph
Y_SM_250658_R,RM CEX PEAK 4,1,0.99954385,9,0.6164635,cex main peak
Y_SM_250657_R,RS HMW,2,0.9989022,3,0.5578359,se-hplc lmw
Y_SM_250580_INP1,METHOD VERSION USED FOR TESTING,4,0.997274,3,0.9958163,spr binding activity
P_MTD-10530,POTENCY,4,0.99861073,1,0.9999529,potency by cell-based bioassay
P_MTD-10466,PURITY,0,0.9973277,3,0.8471397,ce-sds (reduced) purity
P_MTD-10447,MAIN PEAK,1,0.92205346,9,0.6025962,cex main peak
249699_CAP_ELECT,MIG TIME DIFFERENCE SSS1SSS2 BELATACEPT,4,0.8039678,2,0.9696349,potency by binding elisa
Y_GM_95009656_R,OSMOLALITY MOSMO_KG,6,0.6284894,1,1.0,protein concentration (a280)
Y_SM_250580_R,PROTEIN CONC 280,6,0.9954685,1,1.0,protein concentration (a280)
P_9345,IDENTITY PROTEIN CONCENTRATION,6,0.9976216,1,1.0,protein concentration (a280)
P_MTD-10493,MONOMER,2,0.99837446,1,0.6574963,rp-hplc purity
Y_SM_250739_R,RELATIVE POTENCY,4,0.9986785,3,0.9909163,spr binding activity
Y_SM_250685_R,RELATIVE POTENCY 0DECPT,4,0.99571,3,0.9961164,spr binding activity
Y_SM_250684_R,REDUCED LIGHT CHAIN 1DECPT,0,0.9950956,3,0.9990803,ce-sds (reduced) purity
Y_JP_PH,JP PH,5,0.9976774,1,1.0,ph
P_M15788,METHOD_VERSION,4,0.9944877,1,0.99989164,potency by cell-based bioassay
P_M15648,PURITY (LC+HC+NG-HC),0,0.6537543,3,0.9997472,ce-sds (reduced) purity
Y_SM_250197_R,RM SIALIC ACID NANA 1DECPT,0,0.5088315,3,0.9984666,ce-sds (reduced) purity
Y_SM_250193_R,PROTEIN CONCENTRATION UV A280 1DECPT,6,0.99764425,1,1.0,protein concentration (a280)
R_OPDIVOINY_PARTICUL,Particulas >= 10 um,3,0.98996186,2,0.99765587,particulate-matter >= 25-um
D_250593,PEAK M6,1,0.41903427,7,0.34385526,cex acidic peaks
Y_SM_250683_R,LIGHT CHAIN 1DECPT,0,0.43082312,3,0.9927396,ce-sds (reduced) purity
Y_SM_250742_R,POLYSORBATE 80 2 DECPT,7,0.9976744,1,1.0,polysorbate 80
Y_SM_250735_R,PEAK M1,1,0.9984163,9,0.7129405,cex main peak
Y_SM_250658_R,RM CEX SUM OF PEAKS 3 4 AND 5,1,0.99947864,7,0.9972963,cex acidic peaks
Y_SM_250207_R,QC IL2 INHIBITION ASSAY BIOASSAY,4,0.9992488,3,0.98043215,spr binding activity
95007424_SYSTEM,Vi,6,0.8663076,1,0.9999994,protein concentration (a280)
Y_M00000176_NR_CESDS,NonRed: Sum of undefined peaks,0,0.9225538,2,0.97318214,ce-sds (non-reduced) purity
Y_SM_250191_R,SIZE HOMOGENEITY HMW SPECIES 1DECPT,2,0.9990544,3,0.99783164,se-hplc lmw
Y_SM_250658,RM CEX PEAK 5,1,0.9995982,9,0.996525,cex main peak
Y_SM_250657,RS LMW,2,0.99814737,3,0.99879164,se-hplc lmw
Y_SM_250192_R,SDS COO NONREDUCED SINGLE CHAIN,0,0.99953794,3,0.99926883,ce-sds (reduced) purity
Y_SM_250657,MONOMER XDP,2,0.99831617,4,0.9906887,se-hplc monomer
D_250195,TOTAL PARTICLES GTE 10 MICRON,3,0.99821585,2,0.98598236,particulate-matter >= 25-um
D_250495,SINGLE CHAIN NONREDUCED,0,0.72416276,3,0.96613663,ce-sds (reduced) purity
Y_SM_250658_R,RM CEX PEAK 5,1,0.9995499,9,0.6164635,cex main peak
Y_SM_250657,RS MONOMER,2,0.9991823,4,0.9689584,se-hplc monomer
249699_CAP_ELECT,MIG TIME DIFFERENCE ABABEL IN SSS1,6,0.56133956,1,1.0,protein concentration (a280)
P_M20655,METHOD VERSION,4,0.9938524,1,0.9997749,potency by cell-based bioassay
95007424_SYSTEM,EXP CONCENTRATION STD 1 INITIAL BRACKET,6,0.9963915,1,1.0,protein concentration (a280)
95007424_SYSTEM,EXP CONCENTRATION STD 6 SECOND BRACKET,6,0.996792,1,1.0,protein concentration (a280)
P_M20635,SUM OF MINOR PEAKS >= QL,3,0.3701912,2,0.9977609,particulate-matter >= 25-um
Y_SM_250657,HMW XDP,2,0.998987,2,0.628776,se-hplc hmw
Y_SM_250658,CEX PEAK 5,1,0.999629,9,0.9948139,cex main peak
P_M20687,PH,5,0.99758494,1,1.0,ph
T_250692,BIOENSAYO CELULAR,4,0.8840451,3,0.91873646,spr binding activity
D_250191,HIGH MOLECULAR WEIGHT SPECIES,2,0.9979292,3,0.8873142,se-hplc lmw
D_250192,SDS COOM NONREDUCED MAJOR BAND,0,0.9995577,1,0.97155166,ce-sds (non-reduced) hhl
Y_SM_95011468_R,QC IL2 INHIBITION ASSAY BIOASSAY,4,0.9992544,3,0.98043215,spr binding activity
D_250548,IL2 INHIBITION ASSAY,4,0.99925715,1,0.9999999,potency by cell-based bioassay
Y_SM_250658_R,RM CEX PEAK 2 0 DECPT,1,0.9995771,9,0.6593367,cex main peak
T_250624_SEMIPART,DETERMINACIÃ“N SEMICUANT. PART. VISIBLES,2,0.49103293,1,0.6154322,rp-hplc purity
D_250435,MAIN PEAK,1,0.9987025,9,0.616467,cex main peak
95007196_PH_DIAF,PH DIAFILTRATION SAMPLE 2,5,0.9975304,1,1.0,ph
D_321C,TOTAL PARTICLES 25 MICRON,3,0.99824774,2,0.99951434,particulate-matter >= 25-um
D_250359,PROTEIN CONCENTRATION,6,0.99777585,1,1.0,protein concentration (a280)
D_95011468,BIOASSAY,4,0.9992612,1,0.9999585,potency by cell-based bioassay
T_250627,T_PICOS_ACIDOS,5,0.87517554,1,1.0,ph
T_250599_ASSAY,CONCENTRACIÃ“N DE PROTEÃNA,4,0.9977126,1,0.9963039,potency by cell-based bioassay
D_95007433,PARTICULATE MATTER >=10 MICRON,3,0.99833316,2,0.9992539,particulate-matter >= 25-um
D_250432,pH,5,0.9976484,1,1.0,ph
T_95007196_PH,PH,5,0.99766374,1,1.0,ph
D_250593,PEAK M5,6,0.42939183,1,1.0,protein concentration (a280)
D_250357,MONOMER,2,0.9992601,4,0.7268956,se-hplc monomer
D_250398,BINDING ACTIVITY (ELISA),4,0.9992555,2,0.99784493,potency by binding elisa
D_M00001099,NG-HEAVY CHAIN,4,0.3944517,1,0.99958414,potency by cell-based bioassay
Y_SM_250658,RM CEX SUM OF PEAKS 3 4 AND 5,1,0.99946266,7,0.87628603,cex acidic peaks
D_M00001098,LIGHT CHAIN,6,0.56931484,1,1.0,protein concentration (a280)
T_250601_USP_PARTMAT,MAT PARTICULADO >= 10 MICRAS_AMPOLLETA,2,0.4091017,1,0.94445926,rp-hplc purity
T_250629,ELISA POTENCIA,4,0.99913496,2,0.89607614,potency by binding elisa
D_250546,VISIBLE PARTICLES,3,0.99674976,2,0.99947053,particulate-matter >= 25-um
D_M00001098,SUM OF ALL MINOR PEAKS,1,0.9937928,4,0.7186222,icief acidic peaks
D_M00001098,HHL,0,0.9854836,1,0.9999044,ce-sds (non-reduced) hhl
D_250357,HIGH MOLECULAR WEIGHT,2,0.9977794,3,0.75992054,se-hplc lmw
Y_SM_250657,RS HMW,2,0.99910945,2,0.9264462,se-hplc hmw
Y_SM_250735_R,PEAK M2,1,0.9982734,9,0.8132907,cex main peak
249699_CAP_ELECT,MIG TIME DIFFERENCE SSS2RWS ABATACEPT,4,0.681767,2,0.92912686,potency by binding elisa
D_95011468,BIOASSAY SPEC_L,4,0.99920434,1,0.9999994,potency by cell-based bioassay
D_M00001099,LIGHT CHAIN,6,0.6698405,1,1.0,protein concentration (a280)
D_250435,BASIC REGION,1,0.93054074,8,0.50246114,cex basic peaks
D_250598,MONOMER,2,0.99924856,4,0.7268956,se-hplc monomer
Y_SM_250191_R,SIZE HOMOGENEITY LMW SPECIES 1DECPT,2,0.9983683,3,0.9998994,se-hplc lmw
95007424_SYSTEM,Vi ROUND VALUE TO NEAREST 5 MICRO L,6,0.6961676,1,1.0,protein concentration (a280)
Y_SM_250658_R,RM CEX PEAK 2,1,0.9995433,9,0.6164635,cex main peak
95007424_PROT_CONT,SC PROTEIN CONCENTRATION,6,0.9976851,1,1.0,protein concentration (a280)
